[-1.38317, -1.38317] ; [-0.000236765, 0]
[-1.38317, -1.38317] ; [0, 0.000236765]
[-1.38316, -1.38316] ; [0.000236765, 0.000662942]
[-1.38313, -1.38313] ; [0.000662942, 0.00119343]
[-1.38308, -1.38308] ; [0.00119343, 0.00172812]
[-1.38301, -1.38301] ; [0.00172812, 0.00226668]
[-1.38292, -1.38292] ; [0.00226668, 0.00280918]
[-1.38281, -1.38281] ; [0.00280918, 0.00335565]
[-1.38268, -1.38268] ; [0.00335565, 0.00390616]
[-1.38253, -1.38253] ; [0.00390616, 0.00446074]
[-1.38236, -1.38236] ; [0.00446074, 0.00501946]
[-1.38217, -1.38217] ; [0.00501946, 0.00558236]
[-1.38195, -1.38195] ; [0.00558236, 0.0061495]
[-1.38171, -1.38171] ; [0.0061495, 0.00672093]
[-1.38145, -1.38145] ; [0.00672093, 0.00729671]
[-1.38117, -1.38117] ; [0.00729671, 0.00787689]
[-1.38086, -1.38086] ; [0.00787689, 0.00846154]
[-1.38052, -1.38052] ; [0.00846154, 0.0090507]
[-1.38016, -1.38016] ; [0.0090507, 0.00964443]
[-1.37978, -1.37978] ; [0.00964443, 0.0102428]
[-1.37936, -1.37936] ; [0.0102428, 0.0108459]
[-1.37892, -1.37892] ; [0.0108459, 0.0114537]
[-1.37845, -1.37845] ; [0.0114537, 0.0120664]
[-1.37796, -1.37796] ; [0.0120664, 0.0126839]
[-1.37743, -1.37743] ; [0.0126839, 0.0133064]
[-1.37687, -1.37687] ; [0.0133064, 0.0139339]
[-1.37629, -1.37629] ; [0.0139339, 0.0145665]
[-1.37567, -1.37567] ; [0.0145665, 0.0152042]
[-1.37501, -1.37501] ; [0.0152042, 0.0158471]
[-1.37433, -1.37433] ; [0.0158471, 0.0164954]
[-1.37361, -1.37361] ; [0.0164954, 0.017149]
[-1.37286, -1.37286] ; [0.017149, 0.017808]
[-1.37207, -1.37207] ; [0.017808, 0.0184725]
[-1.37125, -1.37125] ; [0.0184725, 0.0191426]
[-1.37039, -1.37039] ; [0.0191426, 0.0198184]
[-1.36949, -1.36949] ; [0.0198184, 0.0204998]
[-1.36855, -1.36855] ; [0.0204998, 0.0211871]
[-1.36757, -1.36757] ; [0.0211871, 0.021882]
[-1.36654, -1.36654] ; [0.021882, 0.0225875]
[-1.36546, -1.36546] ; [0.0225875, 0.0233036]
[-1.36433, -1.36433] ; [0.0233036, 0.0240308]
[-1.36315, -1.36315] ; [0.0240308, 0.0247691]
