[0.319436, 0.319439] ; [0.127501, 0.129582]
[0.320698, 0.320701] ; [0.129582, 0.131599]
[0.321913, 0.321917] ; [0.131599, 0.133561]
[0.323089, 0.323092] ; [0.133561, 0.135474]
[0.324228, 0.324232] ; [0.135474, 0.137342]
[0.325335, 0.325339] ; [0.137342, 0.139171]
[0.326414, 0.326418] ; [0.139171, 0.140963]
[0.327467, 0.32747] ; [0.140963, 0.142722]
[0.328496, 0.3285] ; [0.142722, 0.144452]
[0.329505, 0.329509] ; [0.144452, 0.146153]
[0.330494, 0.330498] ; [0.146153, 0.147828]
[0.331465, 0.331469] ; [0.147828, 0.149476]
[0.332419, 0.332423] ; [0.149476, 0.151101]
[0.33336, 0.333364] ; [0.151101, 0.152704]
[0.334287, 0.334292] ; [0.152704, 0.154287]
[0.335205, 0.335209] ; [0.154287, 0.155852]
[0.336112, 0.336117] ; [0.155852, 0.1574]
[0.337011, 0.337016] ; [0.1574, 0.15893]
[0.337902, 0.337906] ; [0.15893, 0.160444]
[0.338785, 0.33879] ; [0.160444, 0.161942]
[0.339664, 0.339669] ; [0.161942, 0.163427]
[0.340539, 0.340544] ; [0.163427, 0.164899]
[0.341411, 0.341416] ; [0.164899, 0.16636]
[0.342281, 0.342286] ; [0.16636, 0.167811]
[0.343151, 0.343156] ; [0.167811, 0.169252]
[0.344023, 0.344028] ; [0.169252, 0.170686]
[0.344896, 0.344901] ; [0.170686, 0.172113]
[0.345773, 0.345778] ; [0.172113, 0.173535]
[0.346654, 0.346659] ; [0.173535, 0.174952]
[0.34754, 0.347545] ; [0.174952, 0.176366]
[0.348434, 0.348439] ; [0.176366, 0.177777]
[0.349335, 0.34934] ; [0.177777, 0.179187]
[0.350246, 0.350251] ; [0.179187, 0.180597]
[0.351167, 0.351172] ; [0.180597, 0.182007]
[0.352099, 0.352105] ; [0.182007, 0.18342]
[0.353045, 0.353051] ; [0.18342, 0.184836]
[0.354006, 0.354011] ; [0.184836, 0.186256]
[0.354982, 0.354988] ; [0.186256, 0.187681]
[0.355976, 0.355982] ; [0.187681, 0.189114]
[0.356989, 0.356995] ; [0.189114, 0.190554]
[0.358022, 0.358028] ; [0.190554, 0.192004]
[0.359078, 0.359085] ; [0.192004, 0.193465]
[0.360159, 0.360165] ; [0.193465, 0.194939]
[0.361266, 0.361272] ; [0.194939, 0.196427]
[0.362402, 0.362408] ; [0.196427, 0.197931]
[0.363568, 0.363575] ; [0.197931, 0.199452]
[0.364769, 0.364776] ; [0.199452, 0.200994]
[0.366005, 0.366012] ; [0.200994, 0.202557]
[0.367281, 0.367288] ; [0.202557, 0.204144]
[0.368599, 0.368607] ; [0.204144, 0.205758]
[0.369962, 0.36997] ; [0.205758, 0.207398]
[0.371373, 0.371381] ; [0.207398, 0.209069]
[0.372836, 0.372844] ; [0.209069, 0.210773]
[0.374355, 0.374363] ; [0.210773, 0.212513]
[0.375866, 0.375875] ; [0.212513, 0.214215]
[0.377358, 0.377367] ; [0.214215, 0.215868]
[0.378838, 0.378848] ; [0.215868, 0.217484]
[0.38031, 0.38032] ; [0.217484, 0.219068]
[0.381778, 0.381788] ; [0.219068, 0.220624]
[0.383243, 0.383253] ; [0.220624, 0.222156]
[0.384708, 0.384718] ; [0.222156, 0.223668]
[0.386174, 0.386185] ; [0.223668, 0.225162]
[0.387644, 0.387655] ; [0.225162, 0.226642]
[0.389119, 0.389131] ; [0.226642, 0.228109]
[0.390601, 0.390612] ; [0.228109, 0.229565]
[0.39209, 0.392102] ; [0.229565, 0.231013]
[0.393588, 0.3936] ; [0.231013, 0.232453]
[0.395097, 0.395109] ; [0.232453, 0.233888]
[0.396615, 0.396628] ; [0.233888, 0.235318]
[0.398145, 0.398158] ; [0.235318, 0.236744]
[0.399687, 0.3997] ; [0.236744, 0.238167]
[0.401241, 0.401254] ; [0.238167, 0.239589]
[0.402809, 0.402822] ; [0.239589, 0.241009]
[0.40439, 0.404404] ; [0.241009, 0.24243]
[0.405987, 0.406] ; [0.24243, 0.243851]
[0.407598, 0.407612] ; [0.243851, 0.245274]
[0.409225, 0.409239] ; [0.245274, 0.246699]
[0.410869, 0.410883] ; [0.246699, 0.248127]
[0.412529, 0.412543] ; [0.248127, 0.249559]
[0.414206, 0.414221] ; [0.249559, 0.250995]
[0.415902, 0.415917] ; [0.250995, 0.252436]
[0.417615, 0.41763] ; [0.252436, 0.253882]
[0.419347, 0.419363] ; [0.253882, 0.255334]
[0.421099, 0.421114] ; [0.255334, 0.256793]
[0.422869, 0.422885] ; [0.256793, 0.258258]
[0.42466, 0.424675] ; [0.258258, 0.259731]
[0.42647, 0.426486] ; [0.259731, 0.261212]
[0.428301, 0.428317] ; [0.261212, 0.262701]
[0.430152, 0.430169] ; [0.262701, 0.264198]
[0.432025, 0.432042] ; [0.264198, 0.265704]
[0.433919, 0.433936] ; [0.265704, 0.26722]
[0.435835, 0.435852] ; [0.26722, 0.268746]
[0.437772, 0.437789] ; [0.268746, 0.270282]
[0.439731, 0.439748] ; [0.270282, 0.271828]
[0.441712, 0.44173] ; [0.271828, 0.273385]
[0.443716, 0.443734] ; [0.273385, 0.274954]
[0.445743, 0.445761] ; [0.274954, 0.276533]
[0.447792, 0.44781] ; [0.276533, 0.278125]
[0.449863, 0.449882] ; [0.278125, 0.279729]
[0.451958, 0.451977] ; [0.279729, 0.281345]
[0.454076, 0.454095] ; [0.281345, 0.282974]
[0.456217, 0.456236] ; [0.282974, 0.284615]
[0.458382, 0.458401] ; [0.284615, 0.286271]
[0.46057, 0.460589] ; [0.286271, 0.287939]
[0.462781, 0.462801] ; [0.287939, 0.289622]
[0.465016, 0.465036] ; [0.289622, 0.291319]
[0.467275, 0.467295] ; [0.291319, 0.293031]
[0.469557, 0.469577] ; [0.293031, 0.294758]
[0.471863, 0.471884] ; [0.294758, 0.2965]
[0.474194, 0.474214] ; [0.2965, 0.298258]
[0.476548, 0.476569] ; [0.298258, 0.300032]
[0.478927, 0.478948] ; [0.300032, 0.301822]
[0.481331, 0.481352] ; [0.301822, 0.30363]
[0.483759, 0.48378] ; [0.30363, 0.305455]
[0.486212, 0.486234] ; [0.305455, 0.307298]
[0.488691, 0.488713] ; [0.307298, 0.30916]
[0.491195, 0.491217] ; [0.30916, 0.311041]
[0.493726, 0.493748] ; [0.311041, 0.312942]
[0.496275, 0.496297] ; [0.312942, 0.314858]
[0.498841, 0.498864] ; [0.314858, 0.316788]
[0.501426, 0.501449] ; [0.316788, 0.318733]
[0.50403, 0.504053] ; [0.318733, 0.320694]
[0.506652, 0.506675] ; [0.320694, 0.322672]
[0.509294, 0.509318] ; [0.322672, 0.324667]
[0.511957, 0.51198] ; [0.324667, 0.32668]
[0.51464, 0.514664] ; [0.32668, 0.328713]
[0.517346, 0.51737] ; [0.328713, 0.330767]
[0.520075, 0.520099] ; [0.330767, 0.332842]
[0.522829, 0.522853] ; [0.332842, 0.334941]
[0.525609, 0.525633] ; [0.334941, 0.337066]
[0.528417, 0.528442] ; [0.337066, 0.339217]
[0.531256, 0.531281] ; [0.339217, 0.341398]
[0.534128, 0.534153] ; [0.341398, 0.34361]
[0.537037, 0.537062] ; [0.34361, 0.345858]
[0.539986, 0.540011] ; [0.345858, 0.348145]
[0.542981, 0.543006] ; [0.348145, 0.350476]
[0.546018, 0.546044] ; [0.350476, 0.352848]
[0.548987, 0.549013] ; [0.352848, 0.355175]
[0.551895, 0.551921] ; [0.355175, 0.357463]
[0.554744, 0.55477] ; [0.357463, 0.359714]
[0.557537, 0.557564] ; [0.359714, 0.361929]
[0.560277, 0.560304] ; [0.361929, 0.364109]
[0.562965, 0.562992] ; [0.364109, 0.366256]
[0.565602, 0.565629] ; [0.366256, 0.368372]
[0.568192, 0.568219] ; [0.368372, 0.370455]
[0.570734, 0.570761] ; [0.370455, 0.372509]
[0.573231, 0.573259] ; [0.372509, 0.374533]
[0.575684, 0.575711] ; [0.374533, 0.376529]
[0.578093, 0.578121] ; [0.376529, 0.378496]
[0.580461, 0.580488] ; [0.378496, 0.380435]
[0.582787, 0.582815] ; [0.380435, 0.382346]
[0.585072, 0.5851] ; [0.382346, 0.38423]
[0.587318, 0.587347] ; [0.38423, 0.386088]
[0.589525, 0.589554] ; [0.386088, 0.387918]
[0.591694, 0.591722] ; [0.387918, 0.389723]
[0.593825, 0.593853] ; [0.389723, 0.3915]
[0.595918, 0.595947] ; [0.3915, 0.393252]
[0.597975, 0.598003] ; [0.393252, 0.394976]
[0.599995, 0.600024] ; [0.394976, 0.396675]
[0.601979, 0.602008] ; [0.396675, 0.398347]
[0.603927, 0.603956] ; [0.398347, 0.399993]
[0.605839, 0.605868] ; [0.399993, 0.401612]
[0.607716, 0.607745] ; [0.401612, 0.403204]
[0.60956, 0.609589] ; [0.403204, 0.404772]
[0.611397, 0.611427] ; [0.404772, 0.406337]
[0.613229, 0.613258] ; [0.406337, 0.407899]
[0.615055, 0.615084] ; [0.407899, 0.40946]
[0.616876, 0.616905] ; [0.40946, 0.411019]
[0.618692, 0.618722] ; [0.411019, 0.412577]
[0.620505, 0.620534] ; [0.412577, 0.414133]
[0.622313, 0.622342] ; [0.414133, 0.415687]
[0.624117, 0.624147] ; [0.415687, 0.417241]
[0.625917, 0.625947] ; [0.417241, 0.418792]
[0.627714, 0.627744] ; [0.418792, 0.420343]
[0.629508, 0.629538] ; [0.420343, 0.421892]
[0.631299, 0.631329] ; [0.421892, 0.423439]
[0.633082, 0.633113] ; [0.423439, 0.424982]
[0.634859, 0.634889] ; [0.424982, 0.42652]
[0.636628, 0.636658] ; [0.42652, 0.428052]
[0.638391, 0.638421] ; [0.428052, 0.429579]
[0.640148, 0.640178] ; [0.429579, 0.431102]
[0.6419, 0.64193] ; [0.431102, 0.43262]
[0.643647, 0.643677] ; [0.43262, 0.434135]
[0.645389, 0.64542] ; [0.434135, 0.435646]
[0.647128, 0.647159] ; [0.435646, 0.437153]
[0.648862, 0.648893] ; [0.437153, 0.438655]
[0.650603, 0.650635] ; [0.438655, 0.440164]
[0.652366, 0.652397] ; [0.440164, 0.44169]
[0.654149, 0.654181] ; [0.44169, 0.443233]
[0.655953, 0.655985] ; [0.443233, 0.444793]
[0.657777, 0.657809] ; [0.444793, 0.446369]
[0.65962, 0.659652] ; [0.446369, 0.44796]
[0.661483, 0.661514] ; [0.44796, 0.449565]
[0.663364, 0.663396] ; [0.449565, 0.451185]
[0.665264, 0.665296] ; [0.451185, 0.452819]
[0.667185, 0.667217] ; [0.452819, 0.454468]
[0.669125, 0.669158] ; [0.454468, 0.456131]
[0.671086, 0.671119] ; [0.456131, 0.457809]
[0.673068, 0.673101] ; [0.457809, 0.459501]
[0.675072, 0.675104] ; [0.459501, 0.461208]
[0.677097, 0.67713] ; [0.461208, 0.462929]
[0.679145, 0.679178] ; [0.462929, 0.464666]
[0.681217, 0.68125] ; [0.464666, 0.466418]
[0.683314, 0.683347] ; [0.466418, 0.468186]
[0.685435, 0.685469] ; [0.468186, 0.46997]
[0.687584, 0.687617] ; [0.46997, 0.471771]
[0.689759, 0.689793] ; [0.471771, 0.473588]
[0.691964, 0.691998] ; [0.473588, 0.475424]
[0.6942, 0.694234] ; [0.475424, 0.477278]
[0.696467, 0.696501] ; [0.477278, 0.479152]
[0.698768, 0.698803] ; [0.479152, 0.481046]
[0.701106, 0.701141] ; [0.481046, 0.482962]
[0.703482, 0.703517] ; [0.482962, 0.484901]
[0.705899, 0.705934] ; [0.484901, 0.486864]
[0.70836, 0.708396] ; [0.486864, 0.488855]
[0.710869, 0.710905] ; [0.488855, 0.490874]
[0.71343, 0.713466] ; [0.490874, 0.492924]
[0.716048, 0.716084] ; [0.492924, 0.495009]
[0.718725, 0.718762] ; [0.495009, 0.49713]
[0.721452, 0.721488] ; [0.49713, 0.499278]
[0.724232, 0.724269] ; [0.499278, 0.501456]
[0.727072, 0.727109] ; [0.501456, 0.503667]
[0.729977, 0.730014] ; [0.503667, 0.505915]
[0.732953, 0.732991] ; [0.505915, 0.508205]
[0.73601, 0.736048] ; [0.508205, 0.510542]
[0.739158, 0.739197] ; [0.510542, 0.512933]
[0.742411, 0.74245] ; [0.512933, 0.515388]
[0.745788, 0.745827] ; [0.515388, 0.51792]
[0.749217, 0.749256] ; [0.51792, 0.520473]
[0.752454, 0.752494] ; [0.520473, 0.522868]
[0.755578, 0.755618] ; [0.522868, 0.525165]
[0.758598, 0.758638] ; [0.525165, 0.527374]
[0.761528, 0.761569] ; [0.527374, 0.529506]
[0.764381, 0.764422] ; [0.529506, 0.53157]
[0.767164, 0.767205] ; [0.53157, 0.533576]
[0.769885, 0.769927] ; [0.533576, 0.535528]
[0.77255, 0.772592] ; [0.535528, 0.537433]
[0.775164, 0.775207] ; [0.537433, 0.539294]
[0.777732, 0.777775] ; [0.539294, 0.541117]
[0.780258, 0.780301] ; [0.541117, 0.542903]
[0.782744, 0.782788] ; [0.542903, 0.544657]
[0.785195, 0.785238] ; [0.544657, 0.546381]
[0.787611, 0.787655] ; [0.546381, 0.548077]
[0.789997, 0.790041] ; [0.548077, 0.549747]
[0.792353, 0.792397] ; [0.549747, 0.551394]
[0.794676, 0.794721] ; [0.551394, 0.553016]
[0.796971, 0.797016] ; [0.553016, 0.554614]
[0.799237, 0.799283] ; [0.554614, 0.556192]
[0.801478, 0.801523] ; [0.556192, 0.55775]
[0.803693, 0.80374] ; [0.55775, 0.559291]
[0.805886, 0.805933] ; [0.559291, 0.560814]
[0.808057, 0.808104] ; [0.560814, 0.562323]
[0.810208, 0.810254] ; [0.562323, 0.563817]
[0.812336, 0.812383] ; [0.563817, 0.565297]
[0.814442, 0.81449] ; [0.565297, 0.566761]
[0.816527, 0.816574] ; [0.566761, 0.568213]
[0.818591, 0.818639] ; [0.568213, 0.569651]
[0.820635, 0.820684] ; [0.569651, 0.571078]
[0.822662, 0.82271] ; [0.571078, 0.572495]
[0.824671, 0.82472] ; [0.572495, 0.573901]
[0.826663, 0.826713] ; [0.573901, 0.5753]
[0.82864, 0.82869] ; [0.5753, 0.57669]
[0.830602, 0.830652] ; [0.57669, 0.578073]
[0.832549, 0.8326] ; [0.578073, 0.579451]
[0.834484, 0.834534] ; [0.579451, 0.580823]
[0.836405, 0.836456] ; [0.580823, 0.58219]
[0.838314, 0.838366] ; [0.58219, 0.583554]
[0.840213, 0.840264] ; [0.583554, 0.584915]
[0.8421, 0.842152] ; [0.584915, 0.586273]
[0.843977, 0.84403] ; [0.586273, 0.58763]
[0.845845, 0.845898] ; [0.58763, 0.588987]
[0.847704, 0.847757] ; [0.588987, 0.590343]
[0.849555, 0.849608] ; [0.590343, 0.591701]
[0.851398, 0.851452] ; [0.591701, 0.59306]
[0.853234, 0.853289] ; [0.59306, 0.594421]
[0.855064, 0.855119] ; [0.594421, 0.595786]
[0.856888, 0.856944] ; [0.595786, 0.597155]
[0.858707, 0.858763] ; [0.597155, 0.59853]
[0.860522, 0.860578] ; [0.59853, 0.59991]
[0.862333, 0.86239] ; [0.59991, 0.601296]
[0.86414, 0.864198] ; [0.601296, 0.602691]
[0.865946, 0.866004] ; [0.602691, 0.604094]
[0.86775, 0.867808] ; [0.604094, 0.605508]
[0.869552, 0.869611] ; [0.605508, 0.606932]
[0.871355, 0.871414] ; [0.606932, 0.608368]
[0.873158, 0.873218] ; [0.608368, 0.609817]
[0.874962, 0.875023] ; [0.609817, 0.611281]
[0.876769, 0.87683] ; [0.611281, 0.61276]
[0.878578, 0.87864] ; [0.61276, 0.614257]
[0.880391, 0.880453] ; [0.614257, 0.615772]
[0.882207, 0.88227] ; [0.615772, 0.617306]
[0.884027, 0.884091] ; [0.617306, 0.61886]
[0.885853, 0.885918] ; [0.61886, 0.620437]
[0.887686, 0.887751] ; [0.620437, 0.622039]
[0.889526, 0.889592] ; [0.622039, 0.623666]
[0.891375, 0.891442] ; [0.623666, 0.625322]
[0.893199, 0.893266] ; [0.625322, 0.626977]
[0.894947, 0.895015] ; [0.626977, 0.628584]
[0.896643, 0.896712] ; [0.628584, 0.630162]
[0.898289, 0.898358] ; [0.630162, 0.631713]
