[0.354572, 0.354575] ; [0.146549, 0.148424]
[0.356043, 0.356046] ; [0.148424, 0.150259]
[0.35748, 0.357483] ; [0.150259, 0.152057]
[0.358887, 0.35889] ; [0.152057, 0.153823]
[0.360268, 0.360271] ; [0.153823, 0.15556]
[0.361625, 0.361629] ; [0.15556, 0.15727]
[0.362963, 0.362967] ; [0.15727, 0.158956]
[0.364282, 0.364286] ; [0.158956, 0.160618]
[0.365585, 0.365588] ; [0.160618, 0.162259]
[0.366872, 0.366876] ; [0.162259, 0.163879]
[0.368147, 0.368151] ; [0.163879, 0.165479]
[0.369411, 0.369415] ; [0.165479, 0.167062]
[0.370667, 0.370671] ; [0.167062, 0.16863]
[0.371917, 0.371921] ; [0.16863, 0.170184]
[0.373164, 0.373168] ; [0.170184, 0.171726]
[0.374408, 0.374412] ; [0.171726, 0.173258]
[0.375653, 0.375657] ; [0.173258, 0.174782]
[0.376899, 0.376903] ; [0.174782, 0.176298]
[0.37815, 0.378154] ; [0.176298, 0.177808]
[0.379407, 0.379411] ; [0.177808, 0.179314]
[0.380672, 0.380676] ; [0.179314, 0.180818]
[0.381947, 0.381951] ; [0.180818, 0.182321]
[0.383234, 0.383239] ; [0.182321, 0.183824]
[0.384537, 0.384541] ; [0.183824, 0.18533]
[0.385856, 0.38586] ; [0.18533, 0.186839]
[0.387194, 0.387199] ; [0.186839, 0.188354]
[0.388555, 0.388559] ; [0.188354, 0.189877]
[0.38994, 0.389945] ; [0.189877, 0.191409]
[0.391354, 0.391359] ; [0.191409, 0.192953]
[0.392798, 0.392803] ; [0.192953, 0.194511]
[0.394278, 0.394283] ; [0.194511, 0.196086]
[0.395797, 0.395802] ; [0.196086, 0.197681]
[0.397359, 0.397364] ; [0.197681, 0.199298]
[0.39897, 0.398975] ; [0.199298, 0.200941]
[0.400635, 0.40064] ; [0.200941, 0.202614]
[0.402361, 0.402367] ; [0.202614, 0.204323]
[0.404156, 0.404162] ; [0.204323, 0.206071]
[0.406029, 0.406035] ; [0.206071, 0.207864]
[0.407987, 0.407993] ; [0.207864, 0.209709]
[0.410044, 0.41005] ; [0.209709, 0.211613]
[0.412214, 0.41222] ; [0.211613, 0.213587]
[0.414514, 0.414521] ; [0.213587, 0.215641]
[0.416793, 0.4168] ; [0.215641, 0.217639]
[0.418998, 0.419006] ; [0.217639, 0.21954]
[0.421164, 0.421172] ; [0.21954, 0.221376]
[0.423299, 0.423307] ; [0.221376, 0.223158]
[0.425412, 0.42542] ; [0.223158, 0.224897]
[0.42751, 0.427519] ; [0.224897, 0.226599]
[0.4296, 0.42961] ; [0.226599, 0.228271]
[0.431687, 0.431696] ; [0.228271, 0.229919]
[0.433773, 0.433783] ; [0.229919, 0.231546]
[0.435863, 0.435873] ; [0.231546, 0.233157]
[0.43796, 0.43797] ; [0.233157, 0.234754]
[0.440066, 0.440077] ; [0.234754, 0.23634]
[0.442183, 0.442194] ; [0.23634, 0.237917]
[0.444314, 0.444325] ; [0.237917, 0.239488]
[0.44646, 0.446471] ; [0.239488, 0.241053]
[0.448622, 0.448633] ; [0.241053, 0.242615]
[0.450801, 0.450813] ; [0.242615, 0.244174]
[0.452999, 0.453011] ; [0.244174, 0.245732]
[0.455218, 0.45523] ; [0.245732, 0.247291]
[0.457459, 0.457471] ; [0.247291, 0.248852]
[0.459722, 0.459734] ; [0.248852, 0.250415]
[0.462009, 0.462021] ; [0.250415, 0.251981]
[0.46432, 0.464333] ; [0.251981, 0.253552]
[0.466658, 0.466671] ; [0.253552, 0.255129]
[0.469022, 0.469035] ; [0.255129, 0.256712]
[0.471414, 0.471427] ; [0.256712, 0.258302]
[0.473834, 0.473847] ; [0.258302, 0.259899]
[0.476282, 0.476296] ; [0.259899, 0.261505]
[0.478761, 0.478775] ; [0.261505, 0.263121]
[0.48127, 0.481284] ; [0.263121, 0.264745]
[0.48381, 0.483824] ; [0.264745, 0.26638]
[0.486382, 0.486396] ; [0.26638, 0.268026]
[0.488985, 0.489] ; [0.268026, 0.269683]
[0.491621, 0.491636] ; [0.269683, 0.271352]
[0.49429, 0.494305] ; [0.271352, 0.273033]
[0.496992, 0.497007] ; [0.273033, 0.274726]
[0.499727, 0.499743] ; [0.274726, 0.276433]
[0.502497, 0.502512] ; [0.276433, 0.278152]
[0.5053, 0.505316] ; [0.278152, 0.279886]
[0.508138, 0.508153] ; [0.279886, 0.281634]
[0.51101, 0.511026] ; [0.281634, 0.283396]
[0.513916, 0.513932] ; [0.283396, 0.285172]
[0.516857, 0.516874] ; [0.285172, 0.286964]
[0.519833, 0.51985] ; [0.286964, 0.288771]
[0.522843, 0.52286] ; [0.288771, 0.290593]
[0.525888, 0.525905] ; [0.290593, 0.292432]
[0.528968, 0.528985] ; [0.292432, 0.294286]
[0.532082, 0.532099] ; [0.294286, 0.296156]
[0.535231, 0.535248] ; [0.296156, 0.298043]
[0.538414, 0.538431] ; [0.298043, 0.299947]
[0.541631, 0.541649] ; [0.299947, 0.301868]
[0.544882, 0.544901] ; [0.301868, 0.303806]
[0.548168, 0.548186] ; [0.303806, 0.305762]
[0.551488, 0.551506] ; [0.305762, 0.307736]
[0.554842, 0.55486] ; [0.307736, 0.309728]
[0.55823, 0.558249] ; [0.309728, 0.311738]
[0.561652, 0.561671] ; [0.311738, 0.313768]
[0.565109, 0.565128] ; [0.313768, 0.315818]
[0.568601, 0.56862] ; [0.315818, 0.317888]
[0.572128, 0.572147] ; [0.317888, 0.319979]
[0.575689, 0.575709] ; [0.319979, 0.322091]
[0.579278, 0.579298] ; [0.322091, 0.324219]
[0.582894, 0.582914] ; [0.324219, 0.326366]
[0.586538, 0.586558] ; [0.326366, 0.32853]
[0.590211, 0.590231] ; [0.32853, 0.330714]
[0.593913, 0.593934] ; [0.330714, 0.332919]
[0.597648, 0.597669] ; [0.332919, 0.335145]
[0.601415, 0.601436] ; [0.335145, 0.337395]
[0.605217, 0.605238] ; [0.337395, 0.339669]
[0.609057, 0.609078] ; [0.339669, 0.34197]
[0.612936, 0.612958] ; [0.34197, 0.3443]
[0.61686, 0.616882] ; [0.3443, 0.346663]
[0.620832, 0.620854] ; [0.346663, 0.34906]
[0.624858, 0.62488] ; [0.34906, 0.351496]
[0.628944, 0.628966] ; [0.351496, 0.353976]
[0.632998, 0.63302] ; [0.353976, 0.356444]
[0.636964, 0.636987] ; [0.356444, 0.358865]
[0.640848, 0.64087] ; [0.358865, 0.361244]
[0.644652, 0.644675] ; [0.361244, 0.363582]
[0.648381, 0.648404] ; [0.363582, 0.365881]
[0.652038, 0.652061] ; [0.365881, 0.368142]
[0.655624, 0.655648] ; [0.368142, 0.370367]
[0.659143, 0.659166] ; [0.370367, 0.372558]
[0.662596, 0.66262] ; [0.372558, 0.374714]
[0.665985, 0.666009] ; [0.374714, 0.376837]
[0.669313, 0.669337] ; [0.376837, 0.378928]
[0.67258, 0.672604] ; [0.378928, 0.380987]
[0.675788, 0.675812] ; [0.380987, 0.383015]
[0.678939, 0.678963] ; [0.383015, 0.385013]
[0.682033, 0.682057] ; [0.385013, 0.38698]
[0.685071, 0.685096] ; [0.38698, 0.388918]
[0.688055, 0.68808] ; [0.388918, 0.390826]
[0.690986, 0.69101] ; [0.390826, 0.392705]
[0.693863, 0.693888] ; [0.392705, 0.394555]
[0.696689, 0.696714] ; [0.394555, 0.396377]
[0.699463, 0.699488] ; [0.396377, 0.398169]
[0.702186, 0.702211] ; [0.398169, 0.399932]
[0.704858, 0.704883] ; [0.399932, 0.401667]
[0.707491, 0.707516] ; [0.401667, 0.40338]
[0.710111, 0.710137] ; [0.40338, 0.405088]
[0.71272, 0.712746] ; [0.405088, 0.406793]
[0.715317, 0.715343] ; [0.406793, 0.408493]
