0.015981	0.250000	0.000000	1.095492	0.000000	26.365247	0.000000	0.159100	1	0
0.032020	0.500000	0.200000	1.516835	12.469605	26.269906	777.455286	0.155813	2	1
0.047971	1.250000	0.600000	1.938178	25.076798	26.414834	790.370030	0.152526	5	3
0.064005	2.250000	1.000000	2.359521	24.946988	26.278097	-8.095924	0.149239	9	5
0.080021	3.750000	1.600000	2.780864	37.462537	26.307631	781.440423	0.145952	15	8
0.096028	5.750000	2.400000	3.202207	49.978135	26.322422	781.882745	0.142664	23	12
0.111964	8.250000	3.800000	3.623550	87.851406	26.439697	2376.585784	0.139377	33	19
0.128024	11.250000	5.200000	4.044893	87.173101	26.235555	-42.235663	0.136090	45	26
0.143972	14.750000	6.800000	4.466236	100.326060	26.419803	824.740332	0.132803	59	34
0.159980	18.750000	8.800000	4.803310	124.937531	21.056622	1537.448247	0.130173	75	44
0.176004	23.500000	11.000000	4.803310	137.294059	0.000000	771.126290	0.130173	94	55
0.191983	28.750000	13.200000	4.803310	137.680706	0.000000	24.197197	0.130173	115	66
0.207964	34.000000	15.400000	4.719042	137.663475	-5.273049	-1.078190	0.130830	136	77
0.224013	39.500000	17.800000	4.719042	149.542028	0.000000	740.142823	0.130830	158	89
0.239984	45.250000	20.000000	4.634773	137.749671	-5.276351	-738.360545	0.131488	181	100
0.255995	51.000000	22.000000	4.634773	124.914122	0.000000	-801.670710	0.131488	204	110
0.272022	56.750000	23.600000	4.550505	99.831534	-5.257915	-1565.020731	0.132145	227	118
0.287973	62.500000	25.000000	4.550505	87.768792	0.000000	-756.237374	0.132145	250	125
0.303990	68.250000	26.200000	4.466236	74.920397	-5.261198	-802.172370	0.132803	273	131
0.319974	73.500000	27.000000	4.466236	50.050050	0.000000	-1555.952642	0.132803	294	135
0.336015	79.000000	27.400000	4.381967	24.936101	-5.253326	-1565.609925	0.133460	316	137
0.351972	84.250000	27.400000	4.466236	0.000000	5.280980	-1562.706100	0.132803	337	137
0.368013	89.500000	27.000000	4.381967	-24.936101	-5.253326	-1554.522863	0.133460	358	135
0.384019	95.000000	26.600000	4.044893	-24.990629	-21.059254	-3.406677	0.136090	380	133
0.399973	100.250000	25.600000	3.623550	-62.680206	-26.409867	-2362.390440	0.139377	401	128
0.416022	104.750000	24.400000	3.202207	-74.771014	-26.253537	-753.368321	0.142664	419	122
0.432047	109.250000	22.400000	2.780864	-124.804992	-26.292856	-3122.245144	0.145952	437	112
0.448011	113.750000	20.000000	2.359521	-150.338261	-26.393323	-1599.428019	0.149239	455	100
0.463999	117.750000	17.400000	1.938178	-162.621966	-26.353704	-768.307818	0.152526	471	87
0.480029	121.000000	14.000000	1.516835	-212.102308	-26.284655	-3086.733730	0.155813	484	70
0.496028	123.750000	10.200000	1.095492	-237.514845	-26.335584	-1588.382806	0.159100	495	51
