[-0.0485412, -0.0485327] ; [0.183094, 0.184423]
[-0.0494631, -0.0494545] ; [0.184423, 0.18574]
[-0.0503757, -0.050367] ; [0.18574, 0.187044]
[-0.0512779, -0.0512691] ; [0.187044, 0.188335]
[-0.0521693, -0.0521605] ; [0.188335, 0.189614]
[-0.0530499, -0.0530411] ; [0.189614, 0.190882]
[-0.0539198, -0.0539109] ; [0.190882, 0.192139]
[-0.0547789, -0.0547699] ; [0.192139, 0.193388]
[-0.0556271, -0.0556181] ; [0.193388, 0.194628]
[-0.0564645, -0.0564554] ; [0.194628, 0.195862]
[-0.057291, -0.0572818] ; [0.195862, 0.197089]
[-0.0581065, -0.0580973] ; [0.197089, 0.198311]
[-0.058911, -0.0589017] ; [0.198311, 0.199529]
[-0.0597044, -0.0596951] ; [0.199529, 0.200744]
[-0.0604866, -0.0604773] ; [0.200744, 0.201957]
[-0.0612576, -0.0612482] ; [0.201957, 0.203168]
[-0.0620172, -0.0620077] ; [0.203168, 0.204379]
[-0.0627654, -0.0627558] ; [0.204379, 0.205591]
[-0.0635019, -0.0634923] ; [0.205591, 0.206805]
[-0.0642267, -0.064217] ; [0.206805, 0.208023]
[-0.0649397, -0.0649299] ; [0.208023, 0.209244]
[-0.0656406, -0.0656307] ; [0.209244, 0.210471]
[-0.0663292, -0.0663193] ; [0.210471, 0.211705]
[-0.0670054, -0.0669954] ; [0.211705, 0.212948]
[-0.0676689, -0.0676588] ; [0.212948, 0.2142]
[-0.0683194, -0.0683092] ; [0.2142, 0.215464]
[-0.0689567, -0.0689464] ; [0.215464, 0.216742]
[-0.0695803, -0.0695699] ; [0.216742, 0.218035]
[-0.0701899, -0.0701794] ; [0.218035, 0.219347]
[-0.070785, -0.0707743] ; [0.219347, 0.220678]
[-0.0713649, -0.0713541] ; [0.220678, 0.222033]
[-0.0719288, -0.0719178] ; [0.222033, 0.223413]
[-0.0724759, -0.0724647] ; [0.223413, 0.224822]
[-0.0730052, -0.0729939] ; [0.224822, 0.226265]
[-0.0735158, -0.0735042] ; [0.226265, 0.227745]
[-0.0740063, -0.0739944] ; [0.227745, 0.22927]
[-0.074475, -0.0744628] ; [0.22927, 0.230844]
[-0.0749199, -0.0749075] ; [0.230844, 0.232476]
[-0.0753378, -0.075325] ; [0.232476, 0.234173]
[-0.0756844, -0.0756713] ; [0.234173, 0.235745]
[-0.0759829, -0.0759694] ; [0.235745, 0.237269]
[-0.0762365, -0.0762227] ; [0.237269, 0.238743]
[-0.0764504, -0.0764363] ; [0.238743, 0.240177]
[-0.076628, -0.0766137] ; [0.240177, 0.241578]
[-0.0767725, -0.0767578] ; [0.241578, 0.242952]
[-0.0768859, -0.076871] ; [0.242952, 0.244303]
[-0.0769703, -0.0769552] ; [0.244303, 0.245635]
[-0.0770272, -0.0770118] ; [0.245635, 0.24695]
[-0.0770579, -0.0770423] ; [0.24695, 0.248253]
[-0.0770635, -0.0770476] ; [0.248253, 0.249543]
[-0.0770449, -0.0770288] ; [0.249543, 0.250825]
[-0.077003, -0.0769866] ; [0.250825, 0.252099]
[-0.0769383, -0.0769217] ; [0.252099, 0.253367]
[-0.0768516, -0.0768348] ; [0.253367, 0.254631]
[-0.0767433, -0.0767262] ; [0.254631, 0.25589]
[-0.0766139, -0.0765966] ; [0.25589, 0.257147]
[-0.0764638, -0.0764464] ; [0.257147, 0.258403]
[-0.0762935, -0.0762758] ; [0.258403, 0.259657]
[-0.0761031, -0.0760852] ; [0.259657, 0.260912]
[-0.075893, -0.0758749] ; [0.260912, 0.262168]
[-0.0756635, -0.0756452] ; [0.262168, 0.263425]
[-0.0754147, -0.0753962] ; [0.263425, 0.264686]
[-0.0751469, -0.0751282] ; [0.264686, 0.265949]
[-0.0748602, -0.0748413] ; [0.265949, 0.267216]
[-0.0745548, -0.0745357] ; [0.267216, 0.268487]
[-0.0742308, -0.0742115] ; [0.268487, 0.269764]
[-0.0738884, -0.0738689] ; [0.269764, 0.271045]
[-0.0735278, -0.073508] ; [0.271045, 0.272333]
[-0.0731489, -0.073129] ; [0.272333, 0.273627]
[-0.072752, -0.0727319] ; [0.273627, 0.274929]
[-0.0723372, -0.0723168] ; [0.274929, 0.276237]
[-0.0719045, -0.071884] ; [0.276237, 0.277553]
[-0.0714542, -0.0714334] ; [0.277553, 0.278878]
[-0.0709862, -0.0709653] ; [0.278878, 0.280211]
[-0.0705008, -0.0704797] ; [0.280211, 0.281553]
[-0.0699981, -0.0699767] ; [0.281553, 0.282904]
[-0.0694781, -0.0694566] ; [0.282904, 0.284265]
[-0.0689412, -0.0689194] ; [0.284265, 0.285636]
[-0.0683873, -0.0683653] ; [0.285636, 0.287017]
[-0.0678167, -0.0677945] ; [0.287017, 0.288408]
[-0.0672296, -0.0672072] ; [0.288408, 0.28981]
[-0.0666261, -0.0666035] ; [0.28981, 0.291224]
[-0.0660065, -0.0659836] ; [0.291224, 0.292648]
[-0.0653709, -0.0653478] ; [0.292648, 0.294085]
[-0.0647196, -0.0646964] ; [0.294085, 0.295533]
[-0.0640529, -0.0640294] ; [0.295533, 0.296993]
[-0.063371, -0.0633473] ; [0.296993, 0.298465]
[-0.0626743, -0.0626503] ; [0.298465, 0.29995]
[-0.0619629, -0.0619387] ; [0.29995, 0.301447]
[-0.0612372, -0.0612129] ; [0.301447, 0.302958]
[-0.0604977, -0.0604731] ; [0.302958, 0.304481]
[-0.0597445, -0.0597197] ; [0.304481, 0.306018]
[-0.0589781, -0.0589531] ; [0.306018, 0.307568]
