[-0.776672, -0.776672] ; [-0.000194829, 0]
[-0.77667, -0.77667] ; [0, 0.000194829]
[-0.776658, -0.776658] ; [0.000194829, 0.000545522]
[-0.77663, -0.77663] ; [0.000545522, 0.0009688]
[-0.776586, -0.776586] ; [0.0009688, 0.00139491]
[-0.776526, -0.776526] ; [0.00139491, 0.00182352]
[-0.776449, -0.776449] ; [0.00182352, 0.00225465]
[-0.776356, -0.776356] ; [0.00225465, 0.00268832]
[-0.776246, -0.776246] ; [0.00268832, 0.00312455]
[-0.776119, -0.776119] ; [0.00312455, 0.00356337]
[-0.775975, -0.775975] ; [0.00356337, 0.00400479]
[-0.775814, -0.775814] ; [0.00400479, 0.00444885]
[-0.775636, -0.775636] ; [0.00444885, 0.00489555]
[-0.77544, -0.77544] ; [0.00489555, 0.00534494]
[-0.775226, -0.775226] ; [0.00534494, 0.00579702]
[-0.774995, -0.774995] ; [0.00579702, 0.00625183]
[-0.774745, -0.774745] ; [0.00625183, 0.00670939]
[-0.774477, -0.774477] ; [0.00670939, 0.00716972]
[-0.77419, -0.77419] ; [0.00716972, 0.00763284]
[-0.773884, -0.773884] ; [0.00763284, 0.00809879]
[-0.773559, -0.773559] ; [0.00809879, 0.00856759]
[-0.773215, -0.773215] ; [0.00856759, 0.00903927]
[-0.772852, -0.772852] ; [0.00903927, 0.00951384]
[-0.772468, -0.772468] ; [0.00951384, 0.00999232]
[-0.772061, -0.772061] ; [0.00999232, 0.010477]
[-0.771631, -0.771631] ; [0.010477, 0.0109681]
[-0.771176, -0.771176] ; [0.0109681, 0.0114655]
[-0.770697, -0.770697] ; [0.0114655, 0.0119694]
[-0.770193, -0.770193] ; [0.0119694, 0.0124798]
[-0.769662, -0.769662] ; [0.0124798, 0.0129968]
[-0.769105, -0.769105] ; [0.0129968, 0.0135206]
[-0.76852, -0.76852] ; [0.0135206, 0.014051]
[-0.767906, -0.767906] ; [0.014051, 0.0145884]
[-0.767264, -0.767264] ; [0.0145884, 0.0151326]
[-0.766592, -0.766592] ; [0.0151326, 0.0156839]
[-0.765889, -0.765889] ; [0.0156839, 0.0162424]
[-0.765155, -0.765155] ; [0.0162424, 0.016808]
[-0.764388, -0.764388] ; [0.016808, 0.0173809]
[-0.763588, -0.763588] ; [0.0173809, 0.0179612]
[-0.762755, -0.762755] ; [0.0179612, 0.0185491]
[-0.761886, -0.761886] ; [0.0185491, 0.0191445]
[-0.760982, -0.760982] ; [0.0191445, 0.0197476]
[-0.760041, -0.760041] ; [0.0197476, 0.0203586]
[-0.759062, -0.759062] ; [0.0203586, 0.0209775]
[-0.758045, -0.758045] ; [0.0209775, 0.0216044]
[-0.756988, -0.756988] ; [0.0216044, 0.0222395]
[-0.75589, -0.75589] ; [0.0222395, 0.0228829]
[-0.754751, -0.754751] ; [0.0228829, 0.0235347]
[-0.753568, -0.753568] ; [0.0235347, 0.0241951]
[-0.752342, -0.752341] ; [0.0241951, 0.0248641]
[-0.75107, -0.75107] ; [0.0248641, 0.0255419]
[-0.749752, -0.749752] ; [0.0255419, 0.0262286]
[-0.748386, -0.748386] ; [0.0262286, 0.0269244]
[-0.746971, -0.746971] ; [0.0269244, 0.0276295]
[-0.745507, -0.745507] ; [0.0276295, 0.0283439]
[-0.74399, -0.74399] ; [0.0283439, 0.0290678]
[-0.742421, -0.742421] ; [0.0290678, 0.0298014]
[-0.740798, -0.740798] ; [0.0298014, 0.0305448]
[-0.739119, -0.739119] ; [0.0305448, 0.0312982]
[-0.737384, -0.737383] ; [0.0312982, 0.0320617]
[-0.735589, -0.735589] ; [0.0320617, 0.0328355]
[-0.733735, -0.733735] ; [0.0328355, 0.0336198]
[-0.731819, -0.731819] ; [0.0336198, 0.0344147]
[-0.729839, -0.729839] ; [0.0344147, 0.0352204]
[-0.727795, -0.727795] ; [0.0352204, 0.0360371]
[-0.725684, -0.725684] ; [0.0360371, 0.036865]
[-0.723504, -0.723504] ; [0.036865, 0.0377042]
[-0.721255, -0.721255] ; [0.0377042, 0.038555]
[-0.718933, -0.718933] ; [0.038555, 0.0394175]
[-0.716537, -0.716537] ; [0.0394175, 0.0402919]
[-0.714066, -0.714066] ; [0.0402919, 0.0411785]
[-0.711517, -0.711516] ; [0.0411785, 0.0420773]
[-0.708887, -0.708887] ; [0.0420773, 0.0429887]
[-0.706177, -0.706176] ; [0.0429887, 0.0439128]
[-0.703382, -0.703382] ; [0.0439128, 0.0448498]
[-0.700501, -0.700501] ; [0.0448498, 0.0457999]
[-0.697532, -0.697532] ; [0.0457999, 0.0467633]
[-0.694472, -0.694472] ; [0.0467633, 0.0477402]
[-0.69132, -0.69132] ; [0.0477402, 0.0487307]
[-0.688073, -0.688073] ; [0.0487307, 0.0497352]
[-0.684729, -0.684729] ; [0.0497352, 0.0507537]
[-0.681286, -0.681285] ; [0.0507537, 0.0517865]
[-0.67774, -0.67774] ; [0.0517865, 0.0528336]
[-0.674091, -0.674091] ; [0.0528336, 0.0538954]
[-0.670336, -0.670336] ; [0.0538954, 0.0549719]
[-0.666472, -0.666472] ; [0.0549719, 0.0560632]
[-0.662498, -0.662498] ; [0.0560632, 0.0571696]
[-0.65841, -0.65841] ; [0.0571696, 0.058291]
[-0.654208, -0.654208] ; [0.058291, 0.0594277]
[-0.649888, -0.649888] ; [0.0594277, 0.0605797]
[-0.645449, -0.645449] ; [0.0605797, 0.0617471]
[-0.640889, -0.640889] ; [0.0617471, 0.0629298]
[-0.636206, -0.636206] ; [0.0629298, 0.064128]
[-0.631399, -0.631398] ; [0.064128, 0.0653416]
[-0.626465, -0.626465] ; [0.0653416, 0.0665705]
[-0.621404, -0.621403] ; [0.0665705, 0.0678147]
[-0.616214, -0.616213] ; [0.0678147, 0.0690741]
[-0.610894, -0.610893] ; [0.0690741, 0.0703485]
[-0.605443, -0.605443] ; [0.0703485, 0.0716379]
[-0.599861, -0.599861] ; [0.0716379, 0.0729418]
[-0.594148, -0.594147] ; [0.0729418, 0.0742603]
[-0.588302, -0.588302] ; [0.0742603, 0.0755928]
[-0.582325, -0.582325] ; [0.0755928, 0.0769392]
[-0.576217, -0.576216] ; [0.0769392, 0.0782991]
[-0.569978, -0.569977] ; [0.0782991, 0.0796721]
[-0.563609, -0.563608] ; [0.0796721, 0.0810578]
[-0.557111, -0.557111] ; [0.0810578, 0.0824557]
[-0.550487, -0.550486] ; [0.0824557, 0.0838654]
[-0.543736, -0.543736] ; [0.0838654, 0.0852865]
[-0.536862, -0.536862] ; [0.0852865, 0.0867184]
[-0.529866, -0.529866] ; [0.0867184, 0.0881607]
[-0.522751, -0.52275] ; [0.0881607, 0.0896128]
[-0.515518, -0.515517] ; [0.0896128, 0.0910742]
[-0.508172, -0.508172] ; [0.0910742, 0.0925441]
[-0.500719, -0.500718] ; [0.0925441, 0.0940214]
[-0.493161, -0.49316] ; [0.0940214, 0.0955057]
[-0.485501, -0.4855] ; [0.0955057, 0.0969964]
[-0.477743, -0.477742] ; [0.0969964, 0.098493]
[-0.46989, -0.469889] ; [0.098493, 0.099995]
[-0.461944, -0.461943] ; [0.099995, 0.101502]
[-0.453909, -0.453908] ; [0.101502, 0.103014]
[-0.445787, -0.445786] ; [0.103014, 0.10453]
[-0.43758, -0.437579] ; [0.10453, 0.10605]
[-0.429292, -0.429291] ; [0.10605, 0.107574]
[-0.420924, -0.420923] ; [0.107574, 0.109101]
[-0.412479, -0.412477] ; [0.109101, 0.110632]
[-0.403956, -0.403955] ; [0.110632, 0.112167]
[-0.395359, -0.395358] ; [0.112167, 0.113705]
[-0.386697, -0.386695] ; [0.113705, 0.115245]
[-0.377974, -0.377973] ; [0.115245, 0.116786]
[-0.369193, -0.369191] ; [0.116786, 0.118329]
[-0.360354, -0.360352] ; [0.118329, 0.119873]
[-0.351457, -0.351456] ; [0.119873, 0.121418]
[-0.342504, -0.342502] ; [0.121418, 0.122966]
[-0.333494, -0.333492] ; [0.122966, 0.124515]
[-0.324427, -0.324425] ; [0.124515, 0.126068]
[-0.315302, -0.3153] ; [0.126068, 0.127622]
[-0.306119, -0.306117] ; [0.127622, 0.12918]
[-0.296877, -0.296875] ; [0.12918, 0.130742]
[-0.287574, -0.287572] ; [0.130742, 0.132308]
[-0.278208, -0.278206] ; [0.132308, 0.133878]
[-0.268779, -0.268776] ; [0.133878, 0.135454]
[-0.259283, -0.25928] ; [0.135454, 0.137036]
[-0.249718, -0.249716] ; [0.137036, 0.138624]
[-0.240082, -0.240079] ; [0.138624, 0.140219]
[-0.230371, -0.230368] ; [0.140219, 0.141822]
[-0.220581, -0.220578] ; [0.141822, 0.143434]
[-0.21071, -0.210707] ; [0.143434, 0.145056]
[-0.200752, -0.200749] ; [0.145056, 0.146689]
[-0.190704, -0.190701] ; [0.146689, 0.148333]
[-0.18056, -0.180557] ; [0.148333, 0.14999]
[-0.170315, -0.170311] ; [0.14999, 0.151662]
[-0.159962, -0.159958] ; [0.151662, 0.153348]
[-0.149495, -0.149491] ; [0.153348, 0.155052]
[-0.138907, -0.138903] ; [0.155052, 0.156773]
[-0.12819, -0.128186] ; [0.156773, 0.158514]
[-0.117335, -0.117331] ; [0.158514, 0.160277]
[-0.106333, -0.106328] ; [0.160277, 0.162064]
[-0.0951728, -0.0951679] ; [0.162064, 0.163876]
[-0.0838442, -0.0838391] ; [0.163876, 0.165716]
[-0.0723428, -0.0723373] ; [0.165716, 0.167585]
[-0.060654, -0.0606483] ; [0.167585, 0.169486]
[-0.0487632, -0.0487572] ; [0.169486, 0.171422]
[-0.0366539, -0.0366476] ; [0.171422, 0.173396]
[-0.0243077, -0.024301] ; [0.173396, 0.175413]
[-0.0117038, -0.0116967] ; [0.175413, 0.177475]
[0.00118098, 0.00118852] ; [0.177475, 0.179588]
[0.014373, 0.0143811] ; [0.179588, 0.181758]
[0.027791, 0.0277995] ; [0.181758, 0.183972]
[0.0405614, 0.0405704] ; [0.183972, 0.186085]
[0.0530203, 0.0530298] ; [0.186085, 0.188155]
[0.0651446, 0.0651547] ; [0.188155, 0.190177]
[0.0769896, 0.0770002] ; [0.190177, 0.19216]
[0.0885833, 0.0885944] ; [0.19216, 0.194109]
[0.0999526, 0.0999642] ; [0.194109, 0.196029]
[0.11112, 0.111132] ; [0.196029, 0.197924]
[0.122103, 0.122116] ; [0.197924, 0.199796]
[0.132919, 0.132932] ; [0.199796, 0.201648]
[0.143581, 0.143595] ; [0.201648, 0.203484]
[0.154102, 0.154116] ; [0.203484, 0.205305]
[0.164491, 0.164506] ; [0.205305, 0.207113]
[0.174759, 0.174775] ; [0.207113, 0.20891]
[0.184913, 0.184929] ; [0.20891, 0.210697]
[0.194955, 0.194972] ; [0.210697, 0.212476]
[0.204892, 0.204909] ; [0.212476, 0.214247]
[0.214728, 0.214746] ; [0.214247, 0.216011]
[0.22447, 0.224489] ; [0.216011, 0.21777]
[0.234121, 0.234141] ; [0.21777, 0.219525]
[0.243687, 0.243707] ; [0.219525, 0.221276]
[0.25317, 0.25319] ; [0.221276, 0.223025]
[0.262573, 0.262594] ; [0.223025, 0.224772]
[0.2719, 0.271922] ; [0.224772, 0.226518]
[0.281153, 0.281176] ; [0.226518, 0.228264]
[0.290335, 0.290358] ; [0.228264, 0.230011]
[0.299447, 0.29947] ; [0.230011, 0.231759]
[0.30849, 0.308514] ; [0.231759, 0.233509]
[0.317467, 0.317492] ; [0.233509, 0.235262]
[0.326379, 0.326404] ; [0.235262, 0.237017]
[0.335226, 0.335253] ; [0.237017, 0.238777]
[0.34401, 0.344037] ; [0.238777, 0.240541]
[0.352731, 0.352759] ; [0.240541, 0.242309]
[0.36139, 0.361418] ; [0.242309, 0.244083]
[0.369987, 0.370016] ; [0.244083, 0.245863]
[0.378522, 0.378552] ; [0.245863, 0.24765]
[0.386996, 0.387026] ; [0.24765, 0.249443]
[0.395407, 0.395438] ; [0.249443, 0.251244]
[0.403757, 0.403789] ; [0.251244, 0.253053]
[0.412045, 0.412077] ; [0.253053, 0.254871]
[0.42027, 0.420303] ; [0.254871, 0.256698]
[0.428432, 0.428465] ; [0.256698, 0.258534]
[0.43653, 0.436564] ; [0.258534, 0.260381]
[0.444563, 0.444598] ; [0.260381, 0.262239]
[0.452531, 0.452566] ; [0.262239, 0.264107]
[0.460433, 0.460469] ; [0.264107, 0.265988]
[0.468267, 0.468304] ; [0.265988, 0.267881]
[0.476033, 0.47607] ; [0.267881, 0.269788]
[0.483729, 0.483767] ; [0.269788, 0.271709]
[0.491354, 0.491393] ; [0.271709, 0.273644]
[0.498907, 0.498947] ; [0.273644, 0.275595]
[0.506387, 0.506427] ; [0.275595, 0.277562]
[0.513791, 0.513832] ; [0.277562, 0.279546]
[0.521118, 0.52116] ; [0.279546, 0.281548]
[0.528367, 0.528409] ; [0.281548, 0.283569]
[0.535536, 0.535579] ; [0.283569, 0.285611]
[0.542623, 0.542667] ; [0.285611, 0.287674]
[0.549626, 0.549671] ; [0.287674, 0.289761]
[0.556544, 0.55659] ; [0.289761, 0.291871]
[0.563375, 0.563421] ; [0.291871, 0.294008]
[0.570117, 0.570163] ; [0.294008, 0.296173]
[0.576767, 0.576815] ; [0.296173, 0.298368]
[0.583182, 0.58323] ; [0.298368, 0.300547]
[0.589306, 0.589355] ; [0.300547, 0.302688]
[0.595154, 0.595204] ; [0.302688, 0.304796]
[0.600736, 0.600787] ; [0.304796, 0.306869]
[0.606061, 0.606113] ; [0.306869, 0.30891]
[0.611136, 0.611189] ; [0.30891, 0.310918]
[0.615972, 0.616026] ; [0.310918, 0.312894]
[0.620579, 0.620634] ; [0.312894, 0.31484]
[0.624967, 0.625022] ; [0.31484, 0.316757]
[0.629143, 0.629199] ; [0.316757, 0.318646]
[0.633115, 0.633173] ; [0.318646, 0.320509]
[0.636892, 0.636951] ; [0.320509, 0.322346]
[0.64048, 0.64054] ; [0.322346, 0.324158]
[0.643886, 0.643946] ; [0.324158, 0.325945]
[0.647116, 0.647177] ; [0.325945, 0.327709]
[0.650175, 0.650237] ; [0.327709, 0.32945]
[0.653069, 0.653132] ; [0.32945, 0.331169]
[0.655805, 0.655868] ; [0.331169, 0.332865]
[0.658385, 0.65845] ; [0.332865, 0.33454]
[0.660817, 0.660882] ; [0.33454, 0.336194]
[0.663104, 0.66317] ; [0.336194, 0.337827]
[0.66525, 0.665317] ; [0.337827, 0.339439]
[0.667276, 0.667343] ; [0.339439, 0.341043]
[0.669186, 0.669255] ; [0.341043, 0.342643]
[0.670983, 0.671052] ; [0.342643, 0.344239]
[0.672666, 0.672736] ; [0.344239, 0.345831]
[0.674237, 0.674308] ; [0.345831, 0.347419]
[0.675697, 0.675768] ; [0.347419, 0.349004]
[0.677046, 0.677118] ; [0.349004, 0.350586]
[0.678285, 0.678357] ; [0.350586, 0.352165]
[0.679415, 0.679488] ; [0.352165, 0.353741]
[0.680435, 0.680509] ; [0.353741, 0.355314]
[0.681348, 0.681423] ; [0.355314, 0.356885]
[0.682153, 0.682228] ; [0.356885, 0.358453]
[0.682851, 0.682927] ; [0.358453, 0.36002]
[0.683443, 0.683519] ; [0.36002, 0.361585]
[0.683928, 0.684005] ; [0.361585, 0.363148]
[0.684307, 0.684385] ; [0.363148, 0.364709]
[0.684581, 0.684659] ; [0.364709, 0.366269]
[0.684749, 0.684828] ; [0.366269, 0.367828]
[0.684813, 0.684893] ; [0.367828, 0.369386]
[0.684772, 0.684853] ; [0.369386, 0.370942]
[0.684627, 0.684708] ; [0.370942, 0.372498]
[0.684378, 0.684459] ; [0.372498, 0.374054]
[0.684024, 0.684107] ; [0.374054, 0.375608]
[0.683567, 0.68365] ; [0.375608, 0.377162]
[0.683007, 0.68309] ; [0.377162, 0.378716]
[0.682343, 0.682427] ; [0.378716, 0.38027]
[0.681575, 0.68166] ; [0.38027, 0.381824]
[0.680704, 0.680789] ; [0.381824, 0.383378]
[0.67973, 0.679815] ; [0.383378, 0.384933]
[0.678652, 0.678738] ; [0.384933, 0.386488]
[0.677471, 0.677558] ; [0.386488, 0.388043]
[0.676187, 0.676274] ; [0.388043, 0.3896]
[0.674799, 0.674887] ; [0.3896, 0.391157]
[0.673308, 0.673396] ; [0.391157, 0.392716]
[0.671712, 0.671801] ; [0.392716, 0.394275]
[0.670013, 0.670102] ; [0.394275, 0.395837]
[0.66821, 0.668299] ; [0.395837, 0.3974]
[0.666302, 0.666392] ; [0.3974, 0.398965]
[0.664289, 0.66438] ; [0.398965, 0.400531]
[0.662171, 0.662263] ; [0.400531, 0.4021]
[0.659948, 0.66004] ; [0.4021, 0.403672]
[0.657619, 0.657712] ; [0.403672, 0.405246]
[0.655174, 0.655267] ; [0.405246, 0.406829]
[0.652599, 0.652693] ; [0.406829, 0.408429]
[0.649892, 0.649986] ; [0.408429, 0.410045]
[0.647049, 0.647144] ; [0.410045, 0.411677]
[0.644067, 0.644162] ; [0.411677, 0.413327]
[0.640943, 0.641039] ; [0.413327, 0.414993]
[0.637674, 0.63777] ; [0.414993, 0.416677]
[0.634255, 0.634351] ; [0.416677, 0.418379]
[0.630684, 0.630781] ; [0.418379, 0.420098]
[0.626958, 0.627056] ; [0.420098, 0.421835]
[0.623073, 0.623171] ; [0.421835, 0.42359]
[0.619025, 0.619124] ; [0.42359, 0.425364]
[0.614809, 0.614909] ; [0.425364, 0.427157]
[0.610422, 0.610523] ; [0.427157, 0.42897]
[0.60586, 0.605961] ; [0.42897, 0.430802]
[0.601116, 0.601218] ; [0.430802, 0.432655]
[0.596187, 0.59629] ; [0.432655, 0.434529]
[0.591067, 0.591171] ; [0.434529, 0.436426]
[0.585751, 0.585856] ; [0.436426, 0.438345]
[0.580232, 0.580338] ; [0.438345, 0.440287]
[0.574505, 0.574611] ; [0.440287, 0.442254]
[0.568562, 0.568669] ; [0.442254, 0.444247]
[0.562395, 0.562503] ; [0.444247, 0.446266]
[0.555998, 0.556106] ; [0.446266, 0.448313]
[0.549361, 0.54947] ; [0.448313, 0.450389]
[0.542475, 0.542584] ; [0.450389, 0.452496]
[0.535329, 0.53544] ; [0.452496, 0.454635]
[0.527913, 0.528024] ; [0.454635, 0.456809]
[0.520214, 0.520326] ; [0.456809, 0.459019]
[0.512219, 0.512331] ; [0.459019, 0.461268]
[0.503912, 0.504025] ; [0.461268, 0.463557]
[0.495277, 0.495391] ; [0.463557, 0.465891]
[0.486295, 0.486409] ; [0.465891, 0.468273]
[0.476945, 0.47706] ; [0.468273, 0.470705]
[0.467205, 0.467321] ; [0.470705, 0.473191]
[0.457049, 0.457165] ; [0.473191, 0.475738]
[0.446446, 0.446563] ; [0.475738, 0.478348]
[0.435367, 0.435484] ; [0.478348, 0.481029]
[0.424011, 0.424129] ; [0.481029, 0.48373]
[0.412766, 0.412884] ; [0.48373, 0.486361]
[0.401578, 0.401697] ; [0.486361, 0.48894]
[0.390434, 0.390552] ; [0.48894, 0.491473]
[0.37932, 0.379439] ; [0.491473, 0.493966]
[0.368225, 0.368345] ; [0.493966, 0.496423]
[0.357141, 0.35726] ; [0.496423, 0.49885]
[0.346058, 0.346178] ; [0.49885, 0.50125]
[0.334969, 0.335089] ; [0.50125, 0.503626]
[0.323867, 0.323988] ; [0.503626, 0.505982]
[0.312745, 0.312868] ; [0.505982, 0.508321]
[0.301598, 0.301722] ; [0.508321, 0.510644]
[0.290419, 0.290545] ; [0.510644, 0.512955]
[0.279203, 0.27933] ; [0.512955, 0.515257]
[0.267944, 0.268073] ; [0.515257, 0.51755]
[0.256638, 0.256768] ; [0.51755, 0.519837]
[0.245278, 0.24541] ; [0.519837, 0.522121]
[0.233859, 0.233992] ; [0.522121, 0.524404]
[0.222376, 0.22251] ; [0.524404, 0.526686]
[0.210823, 0.210959] ; [0.526686, 0.528971]
[0.199194, 0.199332] ; [0.528971, 0.53126]
[0.187485, 0.187624] ; [0.53126, 0.533555]
[0.175688, 0.175829] ; [0.533555, 0.535858]
[0.163799, 0.163941] ; [0.535858, 0.538171]
[0.151811, 0.151954] ; [0.538171, 0.540496]
[0.139717, 0.139862] ; [0.540496, 0.542835]
[0.127512, 0.127658] ; [0.542835, 0.54519]
[0.115188, 0.115335] ; [0.54519, 0.547563]
[0.102738, 0.102887] ; [0.547563, 0.549957]
[0.0901557, 0.0903062] ; [0.549957, 0.552372]
[0.0774331, 0.0775861] ; [0.552372, 0.554813]
[0.0645631, 0.0647188] ; [0.554813, 0.557281]
[0.0515387, 0.0516971] ; [0.557281, 0.559779]
[0.0383531, 0.0385143] ; [0.559779, 0.562309]
[0.0250127, 0.0251769] ; [0.562309, 0.56487]
[0.0115065, 0.0116739] ; [0.56487, 0.567467]
[-0.00217146, -0.00200096] ; [0.567467, 0.570102]
[-0.0155329, -0.0153594] ; [0.570102, 0.572682]
[-0.0286383, -0.0284619] ; [0.572682, 0.575219]
[-0.0415023, -0.0413223] ; [0.575219, 0.577717]
[-0.0541489, -0.0539656] ; [0.577717, 0.580182]
[-0.066596, -0.0664093] ; [0.580182, 0.582617]
[-0.0788601, -0.0786702] ; [0.582617, 0.585026]
[-0.0909552, -0.0907621] ; [0.585026, 0.587413]
[-0.102894, -0.102698] ; [0.587413, 0.58978]
[-0.114687, -0.114488] ; [0.58978, 0.592131]
[-0.126345, -0.126142] ; [0.592131, 0.594468]
[-0.137875, -0.13767] ; [0.594468, 0.596793]
[-0.149285, -0.149077] ; [0.596793, 0.599109]
[-0.160583, -0.160372] ; [0.599109, 0.601417]
[-0.171774, -0.17156] ; [0.601417, 0.603719]
[-0.182863, -0.182647] ; [0.603719, 0.606017]
[-0.193855, -0.193636] ; [0.606017, 0.608312]
[-0.20475, -0.204529] ; [0.608312, 0.610606]
[-0.21555, -0.215327] ; [0.610606, 0.612899]
[-0.226259, -0.226034] ; [0.612899, 0.615193]
[-0.236879, -0.236652] ; [0.615193, 0.617489]
[-0.247413, -0.247183] ; [0.617489, 0.619789]
[-0.257862, -0.25763] ; [0.619789, 0.622093]
[-0.268228, -0.267993] ; [0.622093, 0.624404]
[-0.278512, -0.278276] ; [0.624404, 0.626721]
[-0.288716, -0.288478] ; [0.626721, 0.629047]
[-0.298841, -0.298601] ; [0.629047, 0.631383]
[-0.308887, -0.308644] ; [0.631383, 0.63373]
[-0.318854, -0.31861] ; [0.63373, 0.636089]
