[-0.111151, -0.111151] ; [0.0742603, 0.0755928]
[-0.113952, -0.113952] ; [0.0755928, 0.0769392]
[-0.116792, -0.116792] ; [0.0769392, 0.0782991]
[-0.119671, -0.11967] ; [0.0782991, 0.0796721]
[-0.122587, -0.122587] ; [0.0796721, 0.0810578]
[-0.12554, -0.125539] ; [0.0810578, 0.0824557]
[-0.128527, -0.128527] ; [0.0824557, 0.0838654]
[-0.131549, -0.131548] ; [0.0838654, 0.0852865]
[-0.134603, -0.134602] ; [0.0852865, 0.0867184]
[-0.137688, -0.137687] ; [0.0867184, 0.0881607]
[-0.140802, -0.140801] ; [0.0881607, 0.0896128]
[-0.143944, -0.143943] ; [0.0896128, 0.0910742]
[-0.147112, -0.147111] ; [0.0910742, 0.0925441]
[-0.150303, -0.150302] ; [0.0925441, 0.0940214]
[-0.153515, -0.153514] ; [0.0940214, 0.0955057]
[-0.156747, -0.156746] ; [0.0955057, 0.0969964]
[-0.159997, -0.159997] ; [0.0969964, 0.098493]
[-0.163264, -0.163264] ; [0.098493, 0.099995]
[-0.166546, -0.166546] ; [0.099995, 0.101502]
[-0.169842, -0.169842] ; [0.101502, 0.103014]
[-0.173151, -0.17315] ; [0.103014, 0.10453]
[-0.176471, -0.17647] ; [0.10453, 0.10605]
[-0.179801, -0.1798] ; [0.10605, 0.107574]
[-0.18314, -0.18314] ; [0.107574, 0.109101]
[-0.186488, -0.186488] ; [0.109101, 0.110632]
[-0.189844, -0.189843] ; [0.110632, 0.112167]
[-0.193207, -0.193206] ; [0.112167, 0.113705]
[-0.196573, -0.196572] ; [0.113705, 0.115245]
[-0.199941, -0.19994] ; [0.115245, 0.116786]
[-0.203309, -0.203308] ; [0.116786, 0.118329]
[-0.206678, -0.206677] ; [0.118329, 0.119873]
[-0.210047, -0.210046] ; [0.119873, 0.121418]
[-0.213416, -0.213415] ; [0.121418, 0.122966]
[-0.216785, -0.216784] ; [0.122966, 0.124515]
[-0.220154, -0.220153] ; [0.124515, 0.126068]
[-0.223524, -0.223523] ; [0.126068, 0.127622]
[-0.226894, -0.226893] ; [0.127622, 0.12918]
[-0.230266, -0.230265] ; [0.12918, 0.130742]
[-0.233639, -0.233637] ; [0.130742, 0.132308]
[-0.237014, -0.237012] ; [0.132308, 0.133878]
[-0.240391, -0.24039] ; [0.133878, 0.135454]
[-0.243772, -0.24377] ; [0.135454, 0.137036]
[-0.247157, -0.247155] ; [0.137036, 0.138624]
[-0.250547, -0.250545] ; [0.138624, 0.140219]
[-0.253943, -0.253941] ; [0.140219, 0.141822]
[-0.257346, -0.257344] ; [0.141822, 0.143434]
[-0.260757, -0.260755] ; [0.143434, 0.145056]
[-0.264177, -0.264176] ; [0.145056, 0.146689]
[-0.267609, -0.267607] ; [0.146689, 0.148333]
[-0.271053, -0.271051] ; [0.148333, 0.14999]
[-0.274511, -0.274509] ; [0.14999, 0.151662]
[-0.277985, -0.277983] ; [0.151662, 0.153348]
[-0.281476, -0.281474] ; [0.153348, 0.155052]
[-0.284988, -0.284986] ; [0.155052, 0.156773]
[-0.288522, -0.288519] ; [0.156773, 0.158514]
[-0.29208, -0.292078] ; [0.158514, 0.160277]
[-0.295666, -0.295663] ; [0.160277, 0.162064]
[-0.299282, -0.29928] ; [0.162064, 0.163876]
[-0.302932, -0.302929] ; [0.163876, 0.165716]
[-0.306617, -0.306614] ; [0.165716, 0.167585]
[-0.31034, -0.310337] ; [0.167585, 0.169486]
[-0.314106, -0.314103] ; [0.169486, 0.171422]
[-0.31792, -0.317916] ; [0.171422, 0.173396]
[-0.321787, -0.321783] ; [0.173396, 0.175413]
[-0.325712, -0.325709] ; [0.175413, 0.177475]
[-0.329704, -0.3297] ; [0.177475, 0.179588]
[-0.333769, -0.333764] ; [0.179588, 0.181758]
[-0.337881, -0.337877] ; [0.181758, 0.183972]
[-0.341776, -0.341771] ; [0.183972, 0.186085]
[-0.345559, -0.345554] ; [0.186085, 0.188155]
[-0.349225, -0.34922] ; [0.188155, 0.190177]
[-0.352793, -0.352787] ; [0.190177, 0.19216]
[-0.356273, -0.356267] ; [0.19216, 0.194109]
[-0.359675, -0.359669] ; [0.194109, 0.196029]
[-0.363007, -0.363] ; [0.196029, 0.197924]
[-0.366275, -0.366269] ; [0.197924, 0.199796]
[-0.369486, -0.36948] ; [0.199796, 0.201648]
[-0.372646, -0.372639] ; [0.201648, 0.203484]
[-0.375758, -0.375751] ; [0.203484, 0.205305]
[-0.378827, -0.378819] ; [0.205305, 0.207113]
[-0.381856, -0.381849] ; [0.207113, 0.20891]
[-0.38485, -0.384842] ; [0.20891, 0.210697]
[-0.387809, -0.387801] ; [0.210697, 0.212476]
