[-0.776672, -0.776672] ; [-0.000194829, 0]
[-0.77667, -0.77667] ; [0, 0.000194829]
[-0.776658, -0.776658] ; [0.000194829, 0.000545522]
[-0.776629, -0.776629] ; [0.000545522, 0.00098588]
[-0.776582, -0.776582] ; [0.00098588, 0.00142927]
[-0.776517, -0.776517] ; [0.00142927, 0.00187524]
[-0.776435, -0.776435] ; [0.00187524, 0.00232382]
[-0.776335, -0.776335] ; [0.00232382, 0.00277502]
[-0.776217, -0.776217] ; [0.00277502, 0.00322888]
[-0.77608, -0.77608] ; [0.00322888, 0.0036854]
[-0.775926, -0.775926] ; [0.0036854, 0.00414462]
[-0.775752, -0.775752] ; [0.00414462, 0.00460656]
[-0.77556, -0.77556] ; [0.00460656, 0.00507124]
[-0.775349, -0.775349] ; [0.00507124, 0.00553868]
[-0.775118, -0.775118] ; [0.00553868, 0.0060089]
[-0.774868, -0.774868] ; [0.0060089, 0.00648194]
[-0.774598, -0.774598] ; [0.00648194, 0.0069578]
[-0.774308, -0.774308] ; [0.0069578, 0.00743653]
[-0.773999, -0.773999] ; [0.00743653, 0.00791813]
[-0.773668, -0.773668] ; [0.00791813, 0.00840265]
[-0.773318, -0.773318] ; [0.00840265, 0.00889009]
[-0.772946, -0.772946] ; [0.00889009, 0.0093805]
[-0.772553, -0.772553] ; [0.0093805, 0.00987421]
[-0.772136, -0.772136] ; [0.00987421, 0.0103745]
[-0.771694, -0.771694] ; [0.0103745, 0.0108813]
[-0.771225, -0.771225] ; [0.0108813, 0.0113949]
[-0.770731, -0.770731] ; [0.0113949, 0.0119152]
[-0.770209, -0.770209] ; [0.0119152, 0.0124424]
[-0.76966, -0.76966] ; [0.0124424, 0.0129765]
[-0.769081, -0.769081] ; [0.0129765, 0.0135176]
[-0.768473, -0.768473] ; [0.0135176, 0.0140657]
[-0.767835, -0.767835] ; [0.0140657, 0.014621]
[-0.767166, -0.767166] ; [0.014621, 0.0151835]
[-0.766465, -0.766465] ; [0.0151835, 0.0157534]
[-0.765731, -0.765731] ; [0.0157534, 0.0163307]
[-0.764963, -0.764963] ; [0.0163307, 0.0169154]
[-0.764161, -0.764161] ; [0.0169154, 0.0175078]
[-0.763323, -0.763323] ; [0.0175078, 0.0181079]
[-0.762449, -0.762449] ; [0.0181079, 0.0187158]
[-0.761538, -0.761538] ; [0.0187158, 0.0193316]
[-0.760588, -0.760588] ; [0.0193316, 0.0199555]
[-0.759599, -0.759599] ; [0.0199555, 0.0205874]
[-0.758569, -0.758569] ; [0.0205874, 0.0212276]
[-0.757498, -0.757498] ; [0.0212276, 0.0218761]
[-0.756384, -0.756384] ; [0.0218761, 0.022533]
[-0.755227, -0.755227] ; [0.022533, 0.0231986]
[-0.754025, -0.754025] ; [0.0231986, 0.0238728]
[-0.752777, -0.752777] ; [0.0238728, 0.0245559]
[-0.751482, -0.751482] ; [0.0245559, 0.0252479]
[-0.750138, -0.750138] ; [0.0252479, 0.025949]
[-0.748745, -0.748745] ; [0.025949, 0.0266594]
[-0.747301, -0.747301] ; [0.0266594, 0.027379]
[-0.745805, -0.745805] ; [0.027379, 0.0281082]
[-0.744255, -0.744255] ; [0.0281082, 0.028847]
[-0.74265, -0.74265] ; [0.028847, 0.0295956]
[-0.740989, -0.740989] ; [0.0295956, 0.0303542]
[-0.739269, -0.739269] ; [0.0303542, 0.0311228]
[-0.737491, -0.737491] ; [0.0311228, 0.0319016]
[-0.735652, -0.735652] ; [0.0319016, 0.0326908]
[-0.73375, -0.73375] ; [0.0326908, 0.0334906]
[-0.731785, -0.731784] ; [0.0334906, 0.034301]
[-0.729753, -0.729753] ; [0.034301, 0.0351222]
[-0.727655, -0.727655] ; [0.0351222, 0.0359545]
[-0.725488, -0.725488] ; [0.0359545, 0.0367979]
[-0.72325, -0.72325] ; [0.0367979, 0.0376526]
[-0.720939, -0.720939] ; [0.0376526, 0.0385189]
[-0.718554, -0.718554] ; [0.0385189, 0.0393969]
[-0.716093, -0.716093] ; [0.0393969, 0.0402867]
[-0.713555, -0.713554] ; [0.0402867, 0.0411885]
[-0.710936, -0.710936] ; [0.0411885, 0.0421025]
[-0.708235, -0.708235] ; [0.0421025, 0.0430289]
[-0.70545, -0.70545] ; [0.0430289, 0.0439679]
[-0.70258, -0.70258] ; [0.0439679, 0.0449195]
[-0.699622, -0.699622] ; [0.0449195, 0.0458841]
[-0.696573, -0.696573] ; [0.0458841, 0.0468616]
[-0.693433, -0.693433] ; [0.0468616, 0.0478524]
[-0.690199, -0.690198] ; [0.0478524, 0.0488566]
[-0.686868, -0.686868] ; [0.0488566, 0.0498742]
[-0.683439, -0.683439] ; [0.0498742, 0.0509056]
[-0.67991, -0.679909] ; [0.0509056, 0.0519507]
[-0.676278, -0.676278] ; [0.0519507, 0.0530097]
[-0.672541, -0.672541] ; [0.0530097, 0.0540828]
[-0.668698, -0.668698] ; [0.0540828, 0.0551701]
[-0.664746, -0.664746] ; [0.0551701, 0.0562716]
[-0.660684, -0.660684] ; [0.0562716, 0.0573875]
[-0.656509, -0.656509] ; [0.0573875, 0.0585177]
[-0.65222, -0.65222] ; [0.0585177, 0.0596624]
[-0.647814, -0.647814] ; [0.0596624, 0.0608216]
[-0.643291, -0.643291] ; [0.0608216, 0.0619953]
[-0.638648, -0.638648] ; [0.0619953, 0.0631834]
[-0.633885, -0.633884] ; [0.0631834, 0.0643859]
[-0.628999, -0.628999] ; [0.0643859, 0.0656028]
[-0.62399, -0.623989] ; [0.0656028, 0.066834]
[-0.618856, -0.618856] ; [0.066834, 0.0680794]
[-0.613598, -0.613597] ; [0.0680794, 0.0693387]
[-0.608213, -0.608213] ; [0.0693387, 0.0706118]
[-0.602702, -0.602702] ; [0.0706118, 0.0718986]
[-0.597065, -0.597065] ; [0.0718986, 0.0731987]
[-0.591301, -0.591301] ; [0.0731987, 0.0745119]
[-0.585412, -0.585411] ; [0.0745119, 0.0758379]
[-0.579396, -0.579395] ; [0.0758379, 0.0771764]
[-0.573255, -0.573254] ; [0.0771764, 0.078527]
[-0.56699, -0.566989] ; [0.078527, 0.0798893]
[-0.560602, -0.560601] ; [0.0798893, 0.0812629]
[-0.554092, -0.554091] ; [0.0812629, 0.0826474]
[-0.547462, -0.547461] ; [0.0826474, 0.0840424]
[-0.540714, -0.540713] ; [0.0840424, 0.0854473]
[-0.533849, -0.533848] ; [0.0854473, 0.0868619]
[-0.52687, -0.526869] ; [0.0868619, 0.0882855]
[-0.519778, -0.519777] ; [0.0882855, 0.0897177]
[-0.512577, -0.512576] ; [0.0897177, 0.0911582]
[-0.505268, -0.505267] ; [0.0911582, 0.0926064]
[-0.497853, -0.497853] ; [0.0926064, 0.0940619]
[-0.490337, -0.490336] ; [0.0940619, 0.0955242]
[-0.482724, -0.482724] ; [0.0955242, 0.0969923]
[-0.475019, -0.475018] ; [0.0969923, 0.0984656]
[-0.467223, -0.467222] ; [0.0984656, 0.0999438]
[-0.45934, -0.459339] ; [0.0999438, 0.101427]
[-0.451371, -0.45137] ; [0.101427, 0.102914]
[-0.44332, -0.443319] ; [0.102914, 0.104405]
[-0.435189, -0.435188] ; [0.104405, 0.105899]
[-0.426979, -0.426978] ; [0.105899, 0.107398]
[-0.418693, -0.418692] ; [0.107398, 0.108899]
[-0.410333, -0.410332] ; [0.108899, 0.110404]
[-0.401899, -0.401898] ; [0.110404, 0.111913]
[-0.393394, -0.393392] ; [0.111913, 0.113424]
[-0.384817, -0.384816] ; [0.113424, 0.114939]
[-0.376173, -0.376172] ; [0.114939, 0.116457]
[-0.367471, -0.367469] ; [0.116457, 0.117977]
[-0.35871, -0.358709] ; [0.117977, 0.119498]
[-0.349892, -0.349891] ; [0.119498, 0.121022]
[-0.341017, -0.341015] ; [0.121022, 0.122548]
[-0.332084, -0.332082] ; [0.122548, 0.124076]
[-0.323093, -0.323091] ; [0.124076, 0.125607]
[-0.314044, -0.314042] ; [0.125607, 0.127142]
[-0.304936, -0.304934] ; [0.127142, 0.12868]
[-0.295767, -0.295765] ; [0.12868, 0.130222]
[-0.286537, -0.286535] ; [0.130222, 0.131768]
[-0.277243, -0.277241] ; [0.131768, 0.13332]
[-0.267884, -0.267881] ; [0.13332, 0.134878]
[-0.258457, -0.258454] ; [0.134878, 0.136441]
[-0.248959, -0.248957] ; [0.136441, 0.138012]
[-0.239389, -0.239386] ; [0.138012, 0.139591]
[-0.229741, -0.229739] ; [0.139591, 0.141178]
[-0.220014, -0.220011] ; [0.141178, 0.142774]
[-0.210203, -0.2102] ; [0.142774, 0.144381]
[-0.200303, -0.2003] ; [0.144381, 0.145999]
[-0.190309, -0.190306] ; [0.145999, 0.14763]
[-0.180217, -0.180214] ; [0.14763, 0.149273]
[-0.17002, -0.170017] ; [0.149273, 0.150932]
[-0.159712, -0.159709] ; [0.150932, 0.152607]
[-0.149286, -0.149283] ; [0.152607, 0.154299]
[-0.138734, -0.13873] ; [0.154299, 0.156011]
[-0.128047, -0.128043] ; [0.156011, 0.157743]
[-0.117215, -0.117211] ; [0.157743, 0.159499]
[-0.106229, -0.106225] ; [0.159499, 0.161279]
[-0.0950761, -0.0950715] ; [0.161279, 0.163087]
[-0.0837487, -0.0837439] ; [0.163087, 0.164923]
[-0.0722354, -0.0722304] ; [0.164923, 0.166791]
[-0.0605205, -0.0605153] ; [0.166791, 0.168694]
[-0.0485867, -0.0485811] ; [0.168694, 0.170634]
[-0.0364142, -0.0364083] ; [0.170634, 0.172616]
[-0.023981, -0.0239748] ; [0.172616, 0.174645]
[-0.0112618, -0.0112552] ; [0.174645, 0.176724]
[0.00177241, 0.00177942] ; [0.176724, 0.17886]
[0.0151551, 0.0151626] ; [0.17886, 0.18106]
[0.0288656, 0.0288735] ; [0.18106, 0.183322]
[0.0420618, 0.0420703] ; [0.183322, 0.185506]
[0.0548239, 0.0548328] ; [0.185506, 0.187627]
[0.0672142, 0.0672237] ; [0.187627, 0.189695]
[0.0792819, 0.0792919] ; [0.189695, 0.191717]
[0.0910663, 0.0910768] ; [0.191717, 0.193701]
[0.1026, 0.102611] ; [0.193701, 0.195652]
[0.113909, 0.11392] ; [0.195652, 0.197573]
[0.125015, 0.125027] ; [0.197573, 0.19947]
[0.135939, 0.135951] ; [0.19947, 0.201346]
[0.146695, 0.146708] ; [0.201346, 0.203202]
[0.157298, 0.157312] ; [0.203202, 0.205043]
[0.16776, 0.167774] ; [0.205043, 0.206869]
[0.178091, 0.178106] ; [0.206869, 0.208683]
[0.1883, 0.188316] ; [0.208683, 0.210487]
[0.198392, 0.198408] ; [0.210487, 0.212281]
[0.208372, 0.208388] ; [0.212281, 0.214067]
[0.218245, 0.218263] ; [0.214067, 0.215845]
[0.228019, 0.228037] ; [0.215845, 0.217618]
[0.237698, 0.237717] ; [0.217618, 0.219387]
[0.247287, 0.247306] ; [0.219387, 0.221151]
[0.256789, 0.256809] ; [0.221151, 0.222913]
[0.266209, 0.266229] ; [0.222913, 0.224673]
[0.275548, 0.275569] ; [0.224673, 0.226431]
[0.284811, 0.284832] ; [0.226431, 0.22819]
[0.293998, 0.29402] ; [0.22819, 0.229949]
[0.303114, 0.303136] ; [0.229949, 0.23171]
[0.312158, 0.312182] ; [0.23171, 0.233472]
[0.321133, 0.321158] ; [0.233472, 0.235237]
[0.330041, 0.330066] ; [0.235237, 0.237005]
[0.338882, 0.338907] ; [0.237005, 0.238777]
[0.347657, 0.347683] ; [0.238777, 0.240553]
[0.356367, 0.356394] ; [0.240553, 0.242334]
[0.365013, 0.36504] ; [0.242334, 0.244121]
[0.373594, 0.373622] ; [0.244121, 0.245914]
[0.382111, 0.382141] ; [0.245914, 0.247713]
[0.390565, 0.390595] ; [0.247713, 0.24952]
[0.398955, 0.398986] ; [0.24952, 0.251334]
[0.407281, 0.407312] ; [0.251334, 0.253157]
[0.415542, 0.415574] ; [0.253157, 0.254988]
[0.423739, 0.423771] ; [0.254988, 0.256828]
[0.43187, 0.431903] ; [0.256828, 0.258679]
[0.439935, 0.439969] ; [0.258679, 0.260539]
[0.447933, 0.447968] ; [0.260539, 0.262411]
[0.455863, 0.4559] ; [0.262411, 0.264294]
[0.463725, 0.463762] ; [0.264294, 0.26619]
[0.471517, 0.471555] ; [0.26619, 0.268098]
[0.479238, 0.479277] ; [0.268098, 0.27002]
[0.486887, 0.486927] ; [0.27002, 0.271956]
[0.494463, 0.494503] ; [0.271956, 0.273907]
[0.501963, 0.502004] ; [0.273907, 0.275874]
[0.509387, 0.509429] ; [0.275874, 0.277857]
[0.516733, 0.516776] ; [0.277857, 0.279858]
[0.523999, 0.524043] ; [0.279858, 0.281877]
[0.531183, 0.531228] ; [0.281877, 0.283916]
[0.538285, 0.538331] ; [0.283916, 0.285976]
[0.545301, 0.545348] ; [0.285976, 0.288057]
[0.552231, 0.552279] ; [0.288057, 0.290162]
[0.559071, 0.55912] ; [0.290162, 0.292291]
[0.565821, 0.565871] ; [0.292291, 0.294448]
[0.572477, 0.572528] ; [0.294448, 0.296632]
[0.578997, 0.579049] ; [0.296632, 0.298834]
[0.585218, 0.585271] ; [0.298834, 0.300997]
[0.591157, 0.591211] ; [0.300997, 0.303124]
[0.596824, 0.59688] ; [0.303124, 0.305217]
[0.602233, 0.602289] ; [0.305217, 0.307276]
[0.607389, 0.607446] ; [0.307276, 0.309304]
[0.612303, 0.612361] ; [0.309304, 0.311298]
[0.616983, 0.617041] ; [0.311298, 0.313263]
[0.621439, 0.621499] ; [0.313263, 0.315197]
[0.625681, 0.625741] ; [0.315197, 0.317103]
[0.629716, 0.629777] ; [0.317103, 0.318983]
[0.633552, 0.633615] ; [0.318983, 0.320835]
[0.637197, 0.63726] ; [0.320835, 0.322663]
[0.640657, 0.640721] ; [0.322663, 0.324466]
[0.643938, 0.644003] ; [0.324466, 0.326244]
[0.647047, 0.647113] ; [0.326244, 0.328]
[0.649989, 0.650055] ; [0.328, 0.329732]
[0.652769, 0.652837] ; [0.329732, 0.331443]
[0.655394, 0.655462] ; [0.331443, 0.333131]
[0.657867, 0.657935] ; [0.333131, 0.334798]
[0.660193, 0.660263] ; [0.334798, 0.336444]
[0.662395, 0.662465] ; [0.336444, 0.338082]
[0.664477, 0.664547] ; [0.338082, 0.339715]
[0.66644, 0.666511] ; [0.339715, 0.341344]
[0.668285, 0.668358] ; [0.341344, 0.342968]
[0.670014, 0.670087] ; [0.342968, 0.344589]
[0.671628, 0.671701] ; [0.344589, 0.346205]
[0.673126, 0.6732] ; [0.346205, 0.347818]
[0.674511, 0.674586] ; [0.347818, 0.349428]
[0.675783, 0.675858] ; [0.349428, 0.351034]
[0.676941, 0.677017] ; [0.351034, 0.352638]
[0.677988, 0.678065] ; [0.352638, 0.354239]
[0.678924, 0.679001] ; [0.354239, 0.355837]
[0.679749, 0.679827] ; [0.355837, 0.357434]
[0.680464, 0.680543] ; [0.357434, 0.359028]
[0.68107, 0.681148] ; [0.359028, 0.36062]
[0.681566, 0.681645] ; [0.36062, 0.36221]
[0.681953, 0.682033] ; [0.36221, 0.363799]
[0.682231, 0.682312] ; [0.363799, 0.365386]
[0.682402, 0.682483] ; [0.365386, 0.366972]
[0.682465, 0.682546] ; [0.366972, 0.368557]
[0.68242, 0.682502] ; [0.368557, 0.37014]
[0.682268, 0.682351] ; [0.37014, 0.371724]
[0.68201, 0.682093] ; [0.371724, 0.373306]
[0.681644, 0.681727] ; [0.373306, 0.374888]
[0.681171, 0.681256] ; [0.374888, 0.376469]
[0.680593, 0.680677] ; [0.376469, 0.37805]
[0.679908, 0.679993] ; [0.37805, 0.379631]
[0.679116, 0.679202] ; [0.379631, 0.381212]
[0.678219, 0.678304] ; [0.381212, 0.382793]
[0.677215, 0.677301] ; [0.382793, 0.384375]
[0.676105, 0.676192] ; [0.384375, 0.385957]
[0.674889, 0.674976] ; [0.385957, 0.38754]
[0.673567, 0.673654] ; [0.38754, 0.389124]
[0.672138, 0.672226] ; [0.389124, 0.390709]
[0.670603, 0.670692] ; [0.390709, 0.392295]
[0.668962, 0.66905] ; [0.392295, 0.393882]
[0.667213, 0.667303] ; [0.393882, 0.395471]
[0.665358, 0.665448] ; [0.395471, 0.397062]
[0.663395, 0.663485] ; [0.397062, 0.398654]
[0.661325, 0.661416] ; [0.398654, 0.400249]
[0.659147, 0.659238] ; [0.400249, 0.401846]
[0.656861, 0.656952] ; [0.401846, 0.403445]
[0.654466, 0.654557] ; [0.403445, 0.405047]
[0.651962, 0.652054] ; [0.405047, 0.406652]
[0.649343, 0.649435] ; [0.406652, 0.408264]
[0.64659, 0.646683] ; [0.408264, 0.409892]
[0.643701, 0.643794] ; [0.409892, 0.411536]
[0.640673, 0.640766] ; [0.411536, 0.413198]
[0.637501, 0.637595] ; [0.413198, 0.414877]
[0.634184, 0.634277] ; [0.414877, 0.416573]
[0.630716, 0.63081] ; [0.416573, 0.418286]
[0.627096, 0.62719] ; [0.418286, 0.420018]
[0.623319, 0.623414] ; [0.420018, 0.421767]
[0.619383, 0.619478] ; [0.421767, 0.423535]
[0.615283, 0.615378] ; [0.423535, 0.425321]
[0.611015, 0.61111] ; [0.425321, 0.427127]
[0.606575, 0.606671] ; [0.427127, 0.428952]
[0.601959, 0.602055] ; [0.428952, 0.430797]
[0.597161, 0.597258] ; [0.430797, 0.432663]
[0.592177, 0.592275] ; [0.432663, 0.43455]
[0.587002, 0.5871] ; [0.43455, 0.436459]
[0.581629, 0.581729] ; [0.436459, 0.438391]
[0.576054, 0.576155] ; [0.438391, 0.440347]
[0.57027, 0.570371] ; [0.440347, 0.442327]
[0.564269, 0.564371] ; [0.442327, 0.444333]
[0.558045, 0.558148] ; [0.444333, 0.446365]
[0.55159, 0.551693] ; [0.446365, 0.448426]
[0.544894, 0.544999] ; [0.448426, 0.450516]
[0.537949, 0.538055] ; [0.450516, 0.452636]
[0.530745, 0.530851] ; [0.452636, 0.45479]
[0.523269, 0.523377] ; [0.45479, 0.456978]
[0.515511, 0.515619] ; [0.456978, 0.459202]
[0.507456, 0.507564] ; [0.459202, 0.461465]
[0.499088, 0.499198] ; [0.461465, 0.46377]
[0.490392, 0.490503] ; [0.46377, 0.466119]
[0.481349, 0.481461] ; [0.466119, 0.468516]
[0.471937, 0.47205] ; [0.468516, 0.470964]
[0.462134, 0.462248] ; [0.470964, 0.473467]
[0.451912, 0.452027] ; [0.473467, 0.476031]
[0.441243, 0.441359] ; [0.476031, 0.47866]
[0.430094, 0.430211] ; [0.47866, 0.48136]
[0.418431, 0.418549] ; [0.48136, 0.484137]
[0.40691, 0.407029] ; [0.484137, 0.486835]
[0.395449, 0.395569] ; [0.486835, 0.48948]
[0.384037, 0.384158] ; [0.48948, 0.492076]
[0.372659, 0.372781] ; [0.492076, 0.494631]
[0.361302, 0.361425] ; [0.494631, 0.497149]
[0.349956, 0.35008] ; [0.497149, 0.499636]
[0.338611, 0.338736] ; [0.499636, 0.502096]
[0.32726, 0.327385] ; [0.502096, 0.504532]
[0.315893, 0.31602] ; [0.504532, 0.506948]
[0.304504, 0.304632] ; [0.506948, 0.509347]
[0.293087, 0.293215] ; [0.509347, 0.511732]
[0.281633, 0.281762] ; [0.511732, 0.514105]
[0.270138, 0.270268] ; [0.514105, 0.516469]
[0.258594, 0.258724] ; [0.516469, 0.518826]
[0.246995, 0.247126] ; [0.518826, 0.521179]
[0.235335, 0.235468] ; [0.521179, 0.52353]
[0.223608, 0.223742] ; [0.52353, 0.525882]
[0.211808, 0.211942] ; [0.525882, 0.528235]
[0.199927, 0.200062] ; [0.528235, 0.530594]
[0.18796, 0.188095] ; [0.530594, 0.532959]
[0.175899, 0.176035] ; [0.532959, 0.535333]
[0.163737, 0.163875] ; [0.535333, 0.537719]
[0.151468, 0.151606] ; [0.537719, 0.540118]
[0.139083, 0.139222] ; [0.540118, 0.542533]
[0.126575, 0.126716] ; [0.542533, 0.544966]
[0.113936, 0.114079] ; [0.544966, 0.547419]
[0.101156, 0.101303] ; [0.547419, 0.549896]
[0.0882291, 0.0883787] ; [0.549896, 0.552399]
[0.0751455, 0.0752983] ; [0.552399, 0.55493]
[0.0618963, 0.0620523] ; [0.55493, 0.557492]
[0.0484727, 0.048632] ; [0.557492, 0.560089]
[0.0348717, 0.0350342] ; [0.560089, 0.562722]
[0.0210922, 0.0212579] ; [0.562722, 0.565392]
[0.00712306, 0.00729187] ; [0.565392, 0.568103]
[-0.00688543, -0.00671348] ; [0.568103, 0.570828]
[-0.0204713, -0.0202963] ; [0.570828, 0.573478]
[-0.0338084, -0.0336305] ; [0.573478, 0.576087]
[-0.0468851, -0.0467045] ; [0.576087, 0.578654]
[-0.0597351, -0.0595518] ; [0.578654, 0.581186]
[-0.072376, -0.0721901] ; [0.581186, 0.583688]
[-0.084826, -0.0846375] ; [0.583688, 0.586163]
[-0.0971, -0.0969091] ; [0.586163, 0.588615]
[-0.109211, -0.109018] ; [0.588615, 0.591047]
[-0.121172, -0.120976] ; [0.591047, 0.593463]
[-0.132992, -0.132794] ; [0.593463, 0.595865]
[-0.14468, -0.14448] ; [0.595865, 0.598256]
[-0.156244, -0.156042] ; [0.598256, 0.600637]
[-0.167692, -0.167487] ; [0.600637, 0.603011]
[-0.179029, -0.178823] ; [0.603011, 0.605381]
[-0.190261, -0.190053] ; [0.605381, 0.607746]
[-0.201393, -0.201183] ; [0.607746, 0.610111]
[-0.212426, -0.212214] ; [0.610111, 0.612475]
[-0.223361, -0.223147] ; [0.612475, 0.614839]
[-0.234202, -0.233986] ; [0.614839, 0.617206]
[-0.244951, -0.244734] ; [0.617206, 0.619576]
[-0.25561, -0.255392] ; [0.619576, 0.621951]
[-0.266183, -0.265963] ; [0.621951, 0.624332]
[-0.276669, -0.276448] ; [0.624332, 0.626722]
[-0.287072, -0.286849] ; [0.626722, 0.62912]
[-0.297392, -0.297167] ; [0.62912, 0.631529]
[-0.307629, -0.307403] ; [0.631529, 0.633951]
[-0.317784, -0.317557] ; [0.633951, 0.636385]
[-0.327859, -0.32763] ; [0.636385, 0.638835]
[-0.337852, -0.337622] ; [0.638835, 0.641302]
[-0.347764, -0.347533] ; [0.641302, 0.643786]
[-0.357596, -0.357364] ; [0.643786, 0.646291]
[-0.367178, -0.366945] ; [0.646291, 0.648773]
