[-0.121509, -0.121509] ; [0.0771764, 0.078527]
[-0.124519, -0.124519] ; [0.078527, 0.0798893]
[-0.127567, -0.127567] ; [0.0798893, 0.0812629]
[-0.130651, -0.130651] ; [0.0812629, 0.0826474]
[-0.13377, -0.13377] ; [0.0826474, 0.0840424]
[-0.136923, -0.136922] ; [0.0840424, 0.0854473]
[-0.140108, -0.140107] ; [0.0854473, 0.0868619]
[-0.143323, -0.143323] ; [0.0868619, 0.0882855]
[-0.146568, -0.146568] ; [0.0882855, 0.0897177]
[-0.149841, -0.14984] ; [0.0897177, 0.0911582]
[-0.15314, -0.15314] ; [0.0911582, 0.0926064]
[-0.156464, -0.156464] ; [0.0926064, 0.0940619]
[-0.159812, -0.159811] ; [0.0940619, 0.0955242]
[-0.163179, -0.163179] ; [0.0955242, 0.0969923]
[-0.166565, -0.166565] ; [0.0969923, 0.0984656]
[-0.169969, -0.169968] ; [0.0984656, 0.0999438]
[-0.173388, -0.173388] ; [0.0999438, 0.101427]
[-0.176822, -0.176821] ; [0.101427, 0.102914]
[-0.180269, -0.180269] ; [0.102914, 0.104405]
[-0.183729, -0.183728] ; [0.104405, 0.105899]
[-0.187199, -0.187198] ; [0.105899, 0.107398]
[-0.19068, -0.190679] ; [0.107398, 0.108899]
[-0.19417, -0.194169] ; [0.108899, 0.110404]
[-0.197669, -0.197668] ; [0.110404, 0.111913]
[-0.201176, -0.201175] ; [0.111913, 0.113424]
[-0.204691, -0.20469] ; [0.113424, 0.114939]
[-0.208211, -0.20821] ; [0.114939, 0.116457]
[-0.211735, -0.211734] ; [0.116457, 0.117977]
[-0.21526, -0.215259] ; [0.117977, 0.119498]
[-0.218787, -0.218786] ; [0.119498, 0.121022]
[-0.222316, -0.222315] ; [0.121022, 0.122548]
[-0.225848, -0.225846] ; [0.122548, 0.124076]
[-0.229381, -0.22938] ; [0.124076, 0.125607]
[-0.232916, -0.232915] ; [0.125607, 0.127142]
[-0.236454, -0.236453] ; [0.127142, 0.12868]
[-0.239994, -0.239993] ; [0.12868, 0.130222]
[-0.243538, -0.243537] ; [0.130222, 0.131768]
[-0.247086, -0.247085] ; [0.131768, 0.13332]
[-0.250639, -0.250637] ; [0.13332, 0.134878]
[-0.254196, -0.254195] ; [0.134878, 0.136441]
[-0.25776, -0.257759] ; [0.136441, 0.138012]
[-0.261332, -0.26133] ; [0.138012, 0.139591]
[-0.264911, -0.264909] ; [0.139591, 0.141178]
[-0.2685, -0.268498] ; [0.141178, 0.142774]
[-0.272099, -0.272097] ; [0.142774, 0.144381]
[-0.27571, -0.275709] ; [0.144381, 0.145999]
[-0.279335, -0.279334] ; [0.145999, 0.14763]
[-0.282976, -0.282974] ; [0.14763, 0.149273]
[-0.286633, -0.286631] ; [0.149273, 0.150932]
[-0.29031, -0.290308] ; [0.150932, 0.152607]
[-0.294008, -0.294006] ; [0.152607, 0.154299]
[-0.29773, -0.297727] ; [0.154299, 0.156011]
[-0.301478, -0.301476] ; [0.156011, 0.157743]
