[0.341754, 0.341757] ; [0.141205, 0.143134]
[0.343127, 0.34313] ; [0.143134, 0.145017]
[0.344463, 0.344466] ; [0.145017, 0.146859]
[0.345767, 0.345771] ; [0.146859, 0.148665]
[0.347043, 0.347046] ; [0.148665, 0.150437]
[0.348293, 0.348296] ; [0.150437, 0.15218]
[0.349521, 0.349525] ; [0.15218, 0.153896]
[0.350729, 0.350732] ; [0.153896, 0.155586]
[0.351918, 0.351921] ; [0.155586, 0.157251]
[0.35309, 0.353094] ; [0.157251, 0.158894]
[0.354249, 0.354253] ; [0.158894, 0.160516]
[0.355395, 0.355399] ; [0.160516, 0.162119]
[0.356529, 0.356533] ; [0.162119, 0.163703]
[0.357654, 0.357658] ; [0.163703, 0.165271]
[0.358772, 0.358776] ; [0.165271, 0.166823]
[0.359884, 0.359888] ; [0.166823, 0.168361]
[0.360992, 0.360996] ; [0.168361, 0.169887]
[0.362098, 0.362102] ; [0.169887, 0.171403]
[0.363204, 0.363208] ; [0.171403, 0.17291]
[0.364311, 0.364315] ; [0.17291, 0.174409]
[0.365421, 0.365425] ; [0.174409, 0.175902]
[0.366536, 0.36654] ; [0.175902, 0.17739]
[0.367657, 0.367661] ; [0.17739, 0.178874]
[0.368786, 0.368791] ; [0.178874, 0.180357]
[0.369925, 0.36993] ; [0.180357, 0.181838]
[0.371076, 0.371081] ; [0.181838, 0.18332]
[0.37224, 0.372245] ; [0.18332, 0.184805]
[0.37342, 0.373425] ; [0.184805, 0.186293]
[0.374617, 0.374622] ; [0.186293, 0.187786]
[0.375834, 0.375839] ; [0.187786, 0.189287]
[0.377073, 0.377078] ; [0.189287, 0.190796]
[0.378337, 0.378342] ; [0.190796, 0.192315]
[0.379628, 0.379633] ; [0.192315, 0.193848]
[0.380949, 0.380954] ; [0.193848, 0.195395]
[0.382303, 0.382309] ; [0.195395, 0.196959]
[0.383695, 0.3837] ; [0.196959, 0.198543]
[0.385127, 0.385133] ; [0.198543, 0.20015]
[0.386604, 0.38661] ; [0.20015, 0.201783]
[0.388132, 0.388138] ; [0.201783, 0.203445]
[0.389715, 0.389721] ; [0.203445, 0.20514]
[0.391359, 0.391366] ; [0.20514, 0.206873]
[0.393071, 0.393078] ; [0.206873, 0.208647]
[0.394859, 0.394866] ; [0.208647, 0.210468]
[0.39673, 0.396738] ; [0.210468, 0.212342]
[0.398697, 0.398704] ; [0.212342, 0.214276]
[0.400736, 0.400744] ; [0.214276, 0.216247]
[0.40269, 0.402698] ; [0.216247, 0.218102]
[0.40462, 0.404629] ; [0.218102, 0.219905]
[0.406524, 0.406533] ; [0.219905, 0.221655]
[0.408411, 0.40842] ; [0.221655, 0.223364]
[0.410285, 0.410295] ; [0.223364, 0.225038]
[0.412153, 0.412162] ; [0.225038, 0.226684]
[0.414017, 0.414027] ; [0.226684, 0.228304]
[0.415882, 0.415892] ; [0.228304, 0.229905]
[0.41775, 0.41776] ; [0.229905, 0.231489]
[0.419623, 0.419634] ; [0.231489, 0.233058]
[0.421505, 0.421516] ; [0.233058, 0.234617]
[0.423396, 0.423407] ; [0.234617, 0.236166]
[0.425298, 0.425309] ; [0.236166, 0.237707]
[0.427213, 0.427225] ; [0.237707, 0.239243]
[0.429142, 0.429154] ; [0.239243, 0.240775]
[0.431086, 0.431098] ; [0.240775, 0.242303]
[0.433045, 0.433058] ; [0.242303, 0.243829]
[0.435022, 0.435034] ; [0.243829, 0.245355]
[0.437017, 0.43703] ; [0.245355, 0.246881]
[0.439031, 0.439044] ; [0.246881, 0.248409]
[0.441065, 0.441078] ; [0.248409, 0.249939]
[0.44312, 0.443133] ; [0.249939, 0.251472]
[0.445197, 0.44521] ; [0.251472, 0.253009]
[0.447296, 0.44731] ; [0.253009, 0.254552]
[0.449419, 0.449432] ; [0.254552, 0.2561]
[0.451565, 0.451579] ; [0.2561, 0.257654]
[0.453736, 0.45375] ; [0.257654, 0.259216]
[0.455931, 0.455946] ; [0.259216, 0.260785]
[0.458153, 0.458167] ; [0.260785, 0.262362]
[0.4604, 0.460415] ; [0.262362, 0.263948]
[0.462675, 0.462689] ; [0.263948, 0.265544]
[0.464976, 0.464991] ; [0.265544, 0.267149]
[0.467305, 0.46732] ; [0.267149, 0.268764]
[0.469661, 0.469677] ; [0.268764, 0.270391]
[0.472046, 0.472062] ; [0.270391, 0.272028]
[0.474459, 0.474475] ; [0.272028, 0.273677]
[0.476902, 0.476917] ; [0.273677, 0.275338]
[0.479373, 0.479389] ; [0.275338, 0.277011]
[0.481873, 0.48189] ; [0.277011, 0.278697]
[0.484403, 0.48442] ; [0.278697, 0.280396]
[0.486963, 0.486979] ; [0.280396, 0.282108]
[0.489552, 0.489569] ; [0.282108, 0.283834]
[0.492171, 0.492188] ; [0.283834, 0.285574]
[0.49482, 0.494838] ; [0.285574, 0.287328]
[0.497499, 0.497517] ; [0.287328, 0.289097]
[0.500209, 0.500226] ; [0.289097, 0.290881]
[0.502948, 0.502966] ; [0.290881, 0.29268]
[0.505717, 0.505735] ; [0.29268, 0.294494]
[0.508517, 0.508535] ; [0.294494, 0.296324]
[0.511347, 0.511365] ; [0.296324, 0.29817]
[0.514207, 0.514225] ; [0.29817, 0.300032]
[0.517097, 0.517116] ; [0.300032, 0.301911]
[0.520017, 0.520036] ; [0.301911, 0.303807]
[0.522968, 0.522987] ; [0.303807, 0.305721]
[0.525949, 0.525968] ; [0.305721, 0.307652]
[0.528961, 0.52898] ; [0.307652, 0.309602]
[0.532003, 0.532023] ; [0.309602, 0.31157]
[0.535076, 0.535096] ; [0.31157, 0.313558]
[0.538181, 0.538201] ; [0.313558, 0.315566]
[0.541318, 0.541338] ; [0.315566, 0.317594]
[0.544485, 0.544505] ; [0.317594, 0.319643]
[0.547676, 0.547696] ; [0.319643, 0.321708]
[0.550891, 0.550911] ; [0.321708, 0.323789]
[0.55413, 0.554151] ; [0.323789, 0.325889]
[0.557395, 0.557416] ; [0.325889, 0.328006]
[0.560685, 0.560707] ; [0.328006, 0.330144]
[0.564003, 0.564025] ; [0.330144, 0.332301]
[0.56735, 0.567371] ; [0.332301, 0.334481]
[0.570726, 0.570748] ; [0.334481, 0.336685]
[0.574134, 0.574156] ; [0.336685, 0.338913]
[0.577576, 0.577599] ; [0.338913, 0.341169]
[0.581056, 0.581078] ; [0.341169, 0.343454]
[0.584575, 0.584597] ; [0.343454, 0.345771]
[0.588138, 0.588161] ; [0.345771, 0.348123]
[0.59175, 0.591773] ; [0.348123, 0.350515]
[0.595417, 0.59544] ; [0.350515, 0.35295]
[0.599089, 0.599112] ; [0.35295, 0.355396]
[0.602679, 0.602703] ; [0.355396, 0.357797]
[0.606195, 0.606218] ; [0.357797, 0.360155]
[0.609638, 0.609662] ; [0.360155, 0.362472]
[0.613014, 0.613038] ; [0.362472, 0.364752]
[0.616323, 0.616348] ; [0.364752, 0.366995]
[0.61957, 0.619594] ; [0.366995, 0.369202]
[0.622755, 0.622779] ; [0.369202, 0.371375]
[0.625881, 0.625905] ; [0.371375, 0.373514]
[0.628949, 0.628974] ; [0.373514, 0.375622]
[0.631962, 0.631987] ; [0.375622, 0.377697]
[0.63492, 0.634945] ; [0.377697, 0.379742]
[0.637825, 0.637851] ; [0.379742, 0.381757]
[0.640679, 0.640704] ; [0.381757, 0.383742]
[0.643482, 0.643507] ; [0.383742, 0.385697]
[0.646235, 0.64626] ; [0.385697, 0.387624]
[0.648939, 0.648964] ; [0.387624, 0.389522]
[0.651595, 0.651621] ; [0.389522, 0.391391]
[0.654204, 0.65423] ; [0.391391, 0.393233]
[0.656766, 0.656792] ; [0.393233, 0.395046]
[0.659283, 0.659309] ; [0.395046, 0.396831]
[0.661754, 0.66178] ; [0.396831, 0.398588]
[0.664179, 0.664205] ; [0.398588, 0.400317]
[0.666561, 0.666587] ; [0.400317, 0.402019]
[0.668898, 0.668924] ; [0.402019, 0.403692]
[0.671211, 0.671237] ; [0.403692, 0.405352]
[0.673515, 0.673541] ; [0.405352, 0.407008]
[0.67581, 0.675836] ; [0.407008, 0.408661]
[0.678095, 0.678122] ; [0.408661, 0.41031]
[0.680372, 0.680399] ; [0.41031, 0.411956]
[0.682641, 0.682667] ; [0.411956, 0.413599]
[0.684902, 0.684928] ; [0.413599, 0.415239]
[0.687155, 0.687182] ; [0.415239, 0.416876]
[0.689402, 0.689428] ; [0.416876, 0.41851]
[0.691641, 0.691668] ; [0.41851, 0.420142]
[0.693874, 0.693901] ; [0.420142, 0.42177]
[0.696102, 0.696129] ; [0.42177, 0.423397]
[0.698323, 0.69835] ; [0.423397, 0.42502]
[0.70054, 0.700567] ; [0.42502, 0.426642]
[0.702751, 0.702778] ; [0.426642, 0.428261]
[0.704958, 0.704985] ; [0.428261, 0.429878]
[0.707161, 0.707188] ; [0.429878, 0.431493]
[0.70936, 0.709388] ; [0.431493, 0.433106]
[0.711556, 0.711583] ; [0.433106, 0.434717]
[0.713748, 0.713776] ; [0.434717, 0.436327]
[0.715938, 0.715966] ; [0.436327, 0.437935]
[0.718126, 0.718154] ; [0.437935, 0.439541]
[0.720311, 0.720339] ; [0.439541, 0.441145]
[0.722488, 0.722516] ; [0.441145, 0.442743]
[0.724657, 0.724685] ; [0.442743, 0.444334]
[0.726822, 0.72685] ; [0.444334, 0.445922]
[0.72901, 0.729038] ; [0.445922, 0.447527]
[0.731222, 0.73125] ; [0.447527, 0.449147]
[0.733458, 0.733486] ; [0.449147, 0.450784]
[0.735717, 0.735746] ; [0.450784, 0.452437]
[0.738001, 0.73803] ; [0.452437, 0.454105]
[0.740308, 0.740337] ; [0.454105, 0.455788]
[0.742638, 0.742667] ; [0.455788, 0.457486]
[0.74499, 0.74502] ; [0.457486, 0.459198]
[0.747367, 0.747396] ; [0.459198, 0.460924]
[0.749767, 0.749796] ; [0.460924, 0.462664]
[0.752192, 0.752221] ; [0.462664, 0.464419]
[0.754642, 0.754672] ; [0.464419, 0.466188]
[0.757119, 0.757149] ; [0.466188, 0.467972]
[0.759623, 0.759653] ; [0.467972, 0.469772]
[0.762155, 0.762184] ; [0.469772, 0.471586]
[0.764715, 0.764746] ; [0.471586, 0.473417]
[0.767307, 0.767337] ; [0.473417, 0.475263]
[0.76993, 0.769961] ; [0.475263, 0.477126]
[0.772587, 0.772617] ; [0.477126, 0.479007]
[0.775278, 0.775309] ; [0.479007, 0.480906]
[0.778007, 0.778038] ; [0.480906, 0.482824]
[0.780775, 0.780806] ; [0.482824, 0.484762]
[0.783585, 0.783616] ; [0.484762, 0.486721]
[0.786439, 0.78647] ; [0.486721, 0.488702]
[0.78934, 0.789372] ; [0.488702, 0.490708]
[0.792293, 0.792325] ; [0.490708, 0.49274]
[0.795302, 0.795334] ; [0.49274, 0.4948]
[0.798371, 0.798403] ; [0.4948, 0.49689]
[0.801494, 0.801527] ; [0.49689, 0.499007]
[0.804671, 0.804704] ; [0.499007, 0.501149]
[0.807906, 0.807939] ; [0.501149, 0.503317]
[0.811204, 0.811237] ; [0.503317, 0.505515]
[0.814569, 0.814603] ; [0.505515, 0.507745]
[0.81801, 0.818044] ; [0.507745, 0.510011]
[0.821533, 0.821567] ; [0.510011, 0.512317]
[0.825149, 0.825184] ; [0.512317, 0.514669]
[0.828871, 0.828906] ; [0.514669, 0.517073]
[0.832713, 0.832749] ; [0.517073, 0.519539]
[0.836698, 0.836733] ; [0.519539, 0.522079]
[0.840852, 0.840888] ; [0.522079, 0.524708]
[0.845217, 0.845254] ; [0.524708, 0.527451]
[0.849356, 0.849393] ; [0.527451, 0.530033]
[0.853287, 0.853324] ; [0.530033, 0.532469]
[0.857051, 0.857089] ; [0.532469, 0.534789]
[0.860678, 0.860716] ; [0.534789, 0.537011]
[0.864187, 0.864225] ; [0.537011, 0.53915]
[0.867594, 0.867633] ; [0.53915, 0.541216]
[0.870912, 0.870951] ; [0.541216, 0.54322]
[0.874151, 0.874191] ; [0.54322, 0.545168]
[0.87732, 0.87736] ; [0.545168, 0.547065]
[0.880425, 0.880465] ; [0.547065, 0.548919]
[0.883472, 0.883512] ; [0.548919, 0.550731]
[0.886466, 0.886507] ; [0.550731, 0.552507]
