[-0.000196848, 0] ; ([0.233874, 0.233874] ; [0, 0] ; [-1.38317, -1.38317] ; [0, 0])
[0.0215479, 0.022201] ; ([0.225578, 0.225989] ; [-0.634554, -0.623631] ; [-1.36634, -1.36531] ; [1.54504, 1.59048])
[0.022201, 0.0228657] ; ([0.225153, 0.225578] ; [-0.645026, -0.634233] ; [-1.36531, -1.36424] ; [1.59042, 1.6366])
[0.0228657, 0.0235424] ; ([0.224713, 0.225153] ; [-0.655369, -0.644706] ; [-1.36424, -1.36312] ; [1.63653, 1.68348])
[0.0235424, 0.0242314] ; ([0.224258, 0.224713] ; [-0.665583, -0.655049] ; [-1.36312, -1.36194] ; [1.68341, 1.73114])
[0.0242314, 0.0249331] ; ([0.223787, 0.224258] ; [-0.675669, -0.665263] ; [-1.36194, -1.36071] ; [1.73107, 1.77961])
[0.0249331, 0.025648] ; ([0.223301, 0.223787] ; [-0.685628, -0.67535] ; [-1.36071, -1.35942] ; [1.77954, 1.82892])
[0.025648, 0.0263764] ; ([0.222798, 0.223301] ; [-0.695461, -0.685309] ; [-1.35942, -1.35807] ; [1.82884, 1.87909])
[0.0263764, 0.0271189] ; ([0.222278, 0.222798] ; [-0.705169, -0.695143] ; [-1.35807, -1.35665] ; [1.87901, 1.93014])
[0.0271189, 0.027876] ; ([0.221741, 0.222278] ; [-0.714754, -0.704852] ; [-1.35665, -1.35517] ; [1.93007, 1.98213])
[0.027876, 0.0286481] ; ([0.221185, 0.221741] ; [-0.724218, -0.714438] ; [-1.35517, -1.35362] ; [1.98204, 2.03506])
[0.0286481, 0.0294358] ; ([0.220611, 0.221185] ; [-0.733562, -0.723903] ; [-1.35362, -1.352] ; [2.03498, 2.08898])
[0.0294358, 0.0302398] ; ([0.220018, 0.220611] ; [-0.742789, -0.733249] ; [-1.352, -1.3503] ; [2.0889, 2.14393])
[0.0302398, 0.0310605] ; ([0.219405, 0.220018] ; [-0.751901, -0.742477] ; [-1.3503, -1.34851] ; [2.14384, 2.19994])
[0.0310605, 0.0318986] ; ([0.218771, 0.219405] ; [-0.7609, -0.751591] ; [-1.34851, -1.34665] ; [2.19985, 2.25705])
