[-0.000211802, 0] ; ([-0.00698132, -0.00698132] ; [0, 0] ; [-1.74533, -1.74533] ; [0, 0])
[0.0230407, 0.0237468] ; ([-0.017422, -0.016893] ; [-0.755925, -0.742138] ; [-1.72813, -1.72705] ; [1.50675, 1.55404])
[0.0237468, 0.0244607] ; ([-0.0179663, -0.0174219] ; [-0.769103, -0.755547] ; [-1.72705, -1.72592] ; [1.55404, 1.60189])
[0.0244607, 0.0251826] ; ([-0.0185261, -0.0179662] ; [-0.782059, -0.768729] ; [-1.72592, -1.72475] ; [1.60189, 1.65032])
[0.0251826, 0.0259127] ; ([-0.0191016, -0.0185259] ; [-0.794796, -0.781689] ; [-1.72475, -1.72353] ; [1.65032, 1.69934])
[0.0259127, 0.0266513] ; ([-0.0196931, -0.0191015] ; [-0.807319, -0.794431] ; [-1.72353, -1.72225] ; [1.69934, 1.74898])
[0.0266513, 0.0274007] ; ([-0.0203027, -0.019693] ; [-0.81967, -0.806957] ; [-1.72225, -1.72092] ; [1.74898, 1.79939])
[0.0274007, 0.0281639] ; ([-0.0209328, -0.0203026] ; [-0.83189, -0.81931] ; [-1.72092, -1.71953] ; [1.79939, 1.85076])
[0.0281639, 0.0289411] ; ([-0.0215839, -0.0209326] ; [-0.843978, -0.831529] ; [-1.71953, -1.71807] ; [1.85076, 1.90313])
[0.0289411, 0.0297329] ; ([-0.0222568, -0.0215837] ; [-0.855935, -0.843618] ; [-1.71807, -1.71654] ; [1.90313, 1.95652])
[0.0297329, 0.0305398] ; ([-0.0229521, -0.0222566] ; [-0.867765, -0.855576] ; [-1.71654, -1.71494] ; [1.95652, 2.01097])
[0.0305398, 0.0313623] ; ([-0.0236706, -0.0229519] ; [-0.879468, -0.867405] ; [-1.71494, -1.71327] ; [2.01097, 2.06652])
[0.0313623, 0.0322011] ; ([-0.024413, -0.0236704] ; [-0.891047, -0.879109] ; [-1.71327, -1.71151] ; [2.06651, 2.1232])
[0.0322011, 0.0330568] ; ([-0.0251803, -0.0244128] ; [-0.902505, -0.890689] ; [-1.71151, -1.70967] ; [2.1232, 2.18107])
[0.0330568, 0.0339301] ; ([-0.0259732, -0.0251801] ; [-0.913846, -0.902148] ; [-1.70967, -1.70774] ; [2.18107, 2.24017])
[0.0339301, 0.0348216] ; ([-0.0267928, -0.025973] ; [-0.925071, -0.91349] ; [-1.70774, -1.70571] ; [2.24017, 2.30054])
[0.0348216, 0.0357321] ; ([-0.02764, -0.0267926] ; [-0.936186, -0.924717] ; [-1.70571, -1.70359] ; [2.30054, 2.36225])
[0.0357321, 0.0366626] ; ([-0.0285161, -0.0276398] ; [-0.947195, -0.935833] ; [-1.70359, -1.70136] ; [2.36225, 2.42534])
[0.0366626, 0.0376138] ; ([-0.0294221, -0.0285159] ; [-0.958103, -0.946844] ; [-1.70136, -1.69903] ; [2.42534, 2.48988])
[0.0376138, 0.0385867] ; ([-0.0303594, -0.0294219] ; [-0.968915, -0.957753] ; [-1.69903, -1.69657] ; [2.48987, 2.55593])
[0.0385867, 0.0395824] ; ([-0.0313294, -0.0303592] ; [-0.979636, -0.968566] ; [-1.69657, -1.69399] ; [2.55593, 2.62357])
[0.0395824, 0.0406021] ; ([-0.0323336, -0.0313292] ; [-0.990275, -0.97929] ; [-1.69399, -1.69128] ; [2.62356, 2.69287])
[0.0406021, 0.0416469] ; ([-0.0333736, -0.0323333] ; [-1.00084, -0.989931] ; [-1.69128, -1.68843] ; [2.69287, 2.76391])
[0.0416469, 0.0427182] ; ([-0.0344512, -0.0333733] ; [-1.01133, -1.0005] ; [-1.68843, -1.68543] ; [2.76391, 2.83679])
[0.0427182, 0.0438173] ; ([-0.0355685, -0.0344509] ; [-1.02177, -1.01099] ; [-1.68543, -1.68227] ; [2.83679, 2.9116])
[0.0438173, 0.044946] ; ([-0.0367275, -0.0355681] ; [-1.03216, -1.02143] ; [-1.68227, -1.67894] ; [2.9116, 2.98846])
[0.044946, 0.0461061] ; ([-0.0379307, -0.0367271] ; [-1.04251, -1.03182] ; [-1.67894, -1.67543] ; [2.98846, 3.06748])
[0.0461061, 0.0472995] ; ([-0.0391808, -0.0379303] ; [-1.05284, -1.04218] ; [-1.67543, -1.67172] ; [3.06748, 3.14881])
[0.0472995, 0.0485284] ; ([-0.0404809, -0.0391804] ; [-1.06316, -1.05251] ; [-1.67172, -1.6678] ; [3.1488, 3.23258])
[0.0485284, 0.0497955] ; ([-0.0418344, -0.0404805] ; [-1.07348, -1.06284] ; [-1.6678, -1.66365] ; [3.23258, 3.31898])
[0.0497955, 0.0511034] ; ([-0.0432451, -0.041834] ; [-1.08384, -1.07317] ; [-1.66365, -1.65925] ; [3.31898, 3.4082])
[0.0511034, 0.0524555] ; ([-0.0447175, -0.0432446] ; [-1.09425, -1.08353] ; [-1.65925, -1.65458] ; [3.4082, 3.50045])
[0.0524555, 0.0538555] ; ([-0.0462566, -0.0447169] ; [-1.10473, -1.09394] ; [-1.65458, -1.64961] ; [3.50045, 3.59598])
[0.0538555, 0.0553076] ; ([-0.0478683, -0.046256] ; [-1.11532, -1.10443] ; [-1.64961, -1.64432] ; [3.59598, 3.69509])
[0.0553076, 0.0568169] ; ([-0.0495596, -0.0478677] ; [-1.12605, -1.11503] ; [-1.64432, -1.63866] ; [3.69509, 3.79811])
[0.0568169, 0.0583893] ; ([-0.0513387, -0.0495589] ; [-1.13697, -1.12577] ; [-1.63866, -1.63261] ; [3.79811, 3.90545])
[0.0583893, 0.0600319] ; ([-0.0532154, -0.051338] ; [-1.14812, -1.13669] ; [-1.63261, -1.6261] ; [3.90544, 4.01759])
[0.0600319, 0.0617535] ; ([-0.0552018, -0.0532146] ; [-1.15956, -1.14785] ; [-1.6261, -1.61908] ; [4.01757, 4.13511])
[0.0617535, 0.0635648] ; ([-0.0573127, -0.0552008] ; [-1.17137, -1.1593] ; [-1.61908, -1.61148] ; [4.13508, 4.25873])
[0.0635648, 0.0654792] ; ([-0.059567, -0.0573115] ; [-1.18365, -1.17113] ; [-1.61148, -1.6032] ; [4.2587, 4.38938])
[0.0654792, 0.0675144] ; ([-0.0619891, -0.0595656] ; [-1.19652, -1.18342] ; [-1.6032, -1.59413] ; [4.38933, 4.52822])
[0.0675144, 0.0696936] ; ([-0.0646114, -0.0619875] ; [-1.21014, -1.19631] ; [-1.59413, -1.5841] ; [4.52815, 4.67683])
[0.0696936, 0.0720485] ; ([-0.0674787, -0.0646095] ; [-1.22475, -1.20995] ; [-1.5841, -1.57289] ; [4.67673, 4.83733])
[0.0720485, 0.0746243] ; ([-0.0706543, -0.0674763] ; [-1.24069, -1.22457] ; [-1.57289, -1.56021] ; [4.83719, 5.01276])
[0.0746243, 0.0773529] ; ([-0.074063, -0.0706512] ; [-1.25757, -1.24051] ; [-1.56021, -1.54628] ; [5.01257, 5.19842])
[0.0773529, 0.0800305] ; ([-0.0774522, -0.0740592] ; [-1.2742, -1.25741] ; [-1.54628, -1.53212] ; [5.19818, 5.38037])
[0.0800305, 0.0825125] ; ([-0.0806334, -0.0774483] ; [-1.28972, -1.27407] ; [-1.53212, -1.51855] ; [5.38012, 5.5488])
[0.0825125, 0.0848961] ; ([-0.0837252, -0.0806298] ; [-1.30479, -1.28961] ; [-1.51855, -1.50513] ; [5.54854, 5.71032])
[0.0848961, 0.0872054] ; ([-0.0867551, -0.0837217] ; [-1.31958, -1.30469] ; [-1.50513, -1.49177] ; [5.71006, 5.86656])
[0.0872054, 0.0894611] ; ([-0.089748, -0.0867516] ; [-1.33423, -1.31948] ; [-1.49177, -1.47836] ; [5.86628, 6.01892])
[0.0894611, 0.091677] ; ([-0.0927205, -0.0897445] ; [-1.34883, -1.33413] ; [-1.47836, -1.46486] ; [6.01863, 6.16832])
[0.091677, 0.0938633] ; ([-0.0956853, -0.0927169] ; [-1.36347, -1.34874] ; [-1.46486, -1.45121] ; [6.168, 6.31542])
[0.0938633, 0.0960278] ; ([-0.0986524, -0.0956815] ; [-1.37821, -1.36338] ; [-1.45121, -1.43739] ; [6.31508, 6.46074])
[0.0960278, 0.098177] ; ([-0.10163, -0.0986484] ; [-1.39309, -1.37811] ; [-1.43739, -1.42335] ; [6.46038, 6.60469])
[0.098177, 0.100316] ; ([-0.104626, -0.101626] ; [-1.40816, -1.39299] ; [-1.42335, -1.40907] ; [6.6043, 6.7476])
[0.100316, 0.10245] ; ([-0.107647, -0.104622] ; [-1.42345, -1.40806] ; [-1.40907, -1.39452] ; [6.74718, 6.88975])
[0.10245, 0.104583] ; ([-0.110699, -0.107643] ; [-1.439, -1.42335] ; [-1.39452, -1.37967] ; [6.8893, 7.03141])
[0.104583, 0.106718] ; ([-0.113789, -0.110695] ; [-1.45485, -1.4389] ; [-1.37967, -1.36451] ; [7.03091, 7.17279])
[0.106718, 0.108861] ; ([-0.116923, -0.113784] ; [-1.47102, -1.45474] ; [-1.36451, -1.34899] ; [7.17226, 7.31413])
[0.108861, 0.111014] ; ([-0.120109, -0.116918] ; [-1.48754, -1.47091] ; [-1.34899, -1.33308] ; [7.31355, 7.45565])
[0.111014, 0.113183] ; ([-0.123353, -0.120104] ; [-1.50446, -1.48743] ; [-1.33309, -1.31676] ; [7.45501, 7.59756])
[0.113183, 0.115371] ; ([-0.126665, -0.123348] ; [-1.52181, -1.50435] ; [-1.31676, -1.29998] ; [7.59687, 7.74013])
[0.115371, 0.117585] ; ([-0.130053, -0.126659] ; [-1.53962, -1.52169] ; [-1.29998, -1.28268] ; [7.73936, 7.88361])
[0.117585, 0.11983] ; ([-0.133531, -0.130047] ; [-1.55795, -1.5395] ; [-1.28269, -1.26482] ; [7.88276, 8.02833])
[0.11983, 0.122114] ; ([-0.137111, -0.133524] ; [-1.57685, -1.55782] ; [-1.26482, -1.24632] ; [8.02739, 8.17467])
[0.122114, 0.124447] ; ([-0.140811, -0.137104] ; [-1.5964, -1.57671] ; [-1.24632, -1.22708] ; [8.17361, 8.3231])
[0.124447, 0.126839] ; ([-0.144654, -0.140804] ; [-1.61667, -1.59624] ; [-1.22708, -1.20699] ; [8.32191, 8.47425])
[0.126839, 0.129307] ; ([-0.148671, -0.144646] ; [-1.63779, -1.61647] ; [-1.20699, -1.18588] ; [8.47289, 8.62893])
[0.129307, 0.131875] ; ([-0.152904, -0.148663] ; [-1.65992, -1.63753] ; [-1.18589, -1.16353] ; [8.62735, 8.78831])
[0.131875, 0.134574] ; ([-0.157416, -0.152895] ; [-1.68333, -1.65959] ; [-1.16353, -1.13958] ; [8.78645, 8.95415])
[0.134574, 0.137074] ; ([-0.161651, -0.157406] ; [-1.70501, -1.68296] ; [-1.13959, -1.11701] ; [8.95221, 9.10579])
[0.137074, 0.139443] ; ([-0.165714, -0.161641] ; [-1.72554, -1.70465] ; [-1.11701, -1.09527] ; [9.10394, 9.24785])
[0.139443, 0.141692] ; ([-0.169616, -0.165705] ; [-1.74495, -1.72518] ; [-1.09527, -1.07432] ; [9.24607, 9.38105])
[0.141692, 0.143837] ; ([-0.173378, -0.169606] ; [-1.76335, -1.7446] ; [-1.07433, -1.05407] ; [9.37931, 9.50655])
[0.143837, 0.145892] ; ([-0.177019, -0.173369] ; [-1.78081, -1.76299] ; [-1.05407, -1.03442] ; [9.50486, 9.62523])
[0.145892, 0.147866] ; ([-0.180551, -0.177009] ; [-1.7974, -1.78045] ; [-1.03442, -1.0153] ; [9.62357, 9.73779])
[0.147866, 0.149769] ; ([-0.183986, -0.180541] ; [-1.81315, -1.79701] ; [-1.01531, -0.996668] ; [9.73616, 9.84484])
[0.149769, 0.151609] ; ([-0.187335, -0.183977] ; [-1.8281, -1.81274] ; [-0.996673, -0.978466] ; [9.84324, 9.94687])
[0.151609, 0.153391] ; ([-0.190605, -0.187325] ; [-1.84229, -1.82767] ; [-0.978471, -0.960656] ; [9.94529, 10.0443])
[0.153391, 0.15512] ; ([-0.193803, -0.190595] ; [-1.85574, -1.84184] ; [-0.960662, -0.943202] ; [10.0427, 10.1375])
[0.15512, 0.156803] ; ([-0.196935, -0.193793] ; [-1.86846, -1.85526] ; [-0.943208, -0.926075] ; [10.1359, 10.2267])
[0.156803, 0.158441] ; ([-0.200007, -0.196925] ; [-1.8805, -1.86798] ; [-0.926081, -0.909246] ; [10.2252, 10.3123])
[0.158441, 0.16004] ; ([-0.203022, -0.199996] ; [-1.89184, -1.87999] ; [-0.909252, -0.892693] ; [10.3108, 10.3945])
[0.16004, 0.161602] ; ([-0.205985, -0.203012] ; [-1.90252, -1.89132] ; [-0.8927, -0.876395] ; [10.393, 10.4734])
[0.161602, 0.16313] ; ([-0.2089, -0.205975] ; [-1.91254, -1.90199] ; [-0.876402, -0.860334] ; [10.4719, 10.5493])
[0.16313, 0.164627] ; ([-0.211769, -0.208889] ; [-1.92191, -1.91199] ; [-0.860341, -0.844492] ; [10.5478, 10.6223])
[0.164627, 0.166094] ; ([-0.214595, -0.211758] ; [-1.93063, -1.92135] ; [-0.844499, -0.828854] ; [10.6208, 10.6925])
[0.166094, 0.167535] ; ([-0.217381, -0.214585] ; [-1.93873, -1.93007] ; [-0.828861, -0.813406] ; [10.691, 10.7602])
[0.167535, 0.16895] ; ([-0.22013, -0.217371] ; [-1.94619, -1.93815] ; [-0.813414, -0.798136] ; [10.7587, 10.8253])
[0.16895, 0.170341] ; ([-0.222842, -0.220119] ; [-1.95302, -1.9456] ; [-0.798144, -0.783031] ; [10.8238, 10.8881])
