[-0.000214825, 0] ; ([-0.00698132, -0.00698132] ; [0, 0] ; [-1.74533, -1.74533] ; [0, 0])
[0.023026, 0.023731] ; ([-0.0174225, -0.016894] ; [-0.756377, -0.742603] ; [-1.72843, -1.72737] ; [1.48174, 1.5282])
[0.023731, 0.0244438] ; ([-0.0179663, -0.0174224] ; [-0.769539, -0.755998] ; [-1.72737, -1.72626] ; [1.5282, 1.57522])
[0.0244438, 0.0251645] ; ([-0.0185255, -0.0179661] ; [-0.782478, -0.769165] ; [-1.72626, -1.72511] ; [1.57522, 1.62281])
[0.0251645, 0.0258934] ; ([-0.0191003, -0.0185253] ; [-0.795197, -0.782108] ; [-1.72511, -1.72391] ; [1.6228, 1.67097])
[0.0258934, 0.0266307] ; ([-0.0196911, -0.0191002] ; [-0.8077, -0.794831] ; [-1.72391, -1.72266] ; [1.67097, 1.71974])
[0.0266307, 0.0273766] ; ([-0.020298, -0.019691] ; [-0.819992, -0.807339] ; [-1.72266, -1.72136] ; [1.71974, 1.76911])
[0.0273766, 0.0281355] ; ([-0.0209248, -0.0202979] ; [-0.832146, -0.819634] ; [-1.72136, -1.71999] ; [1.76911, 1.8194])
[0.0281355, 0.0289083] ; ([-0.0215725, -0.0209247] ; [-0.844167, -0.831788] ; [-1.71999, -1.71857] ; [1.81939, 1.87064])
[0.0289083, 0.0296955] ; ([-0.0222416, -0.0215723] ; [-0.856056, -0.843809] ; [-1.71857, -1.71708] ; [1.87064, 1.92288])
[0.0296955, 0.0304976] ; ([-0.0229328, -0.0222414] ; [-0.867816, -0.855699] ; [-1.71708, -1.71551] ; [1.92288, 1.97614])
[0.0304976, 0.031315] ; ([-0.0236468, -0.0229326] ; [-0.879447, -0.867459] ; [-1.71551, -1.71387] ; [1.97614, 2.03047])
[0.031315, 0.0321485] ; ([-0.0243844, -0.0236466] ; [-0.890953, -0.879091] ; [-1.71387, -1.71216] ; [2.03047, 2.0859])
[0.0321485, 0.0329985] ; ([-0.0251465, -0.0243843] ; [-0.902335, -0.890597] ; [-1.71216, -1.71036] ; [2.0859, 2.14248])
[0.0329985, 0.0338657] ; ([-0.0259338, -0.0251463] ; [-0.913598, -0.901981] ; [-1.71036, -1.70848] ; [2.14248, 2.20024])
[0.0338657, 0.0347509] ; ([-0.0267473, -0.0259336] ; [-0.924743, -0.913244] ; [-1.70848, -1.7065] ; [2.20024, 2.25924])
[0.0347509, 0.0356548] ; ([-0.0275881, -0.0267471] ; [-0.935775, -0.924391] ; [-1.70651, -1.70444] ; [2.25924, 2.31952])
[0.0356548, 0.0365782] ; ([-0.028457, -0.0275878] ; [-0.946698, -0.935424] ; [-1.70444, -1.70227] ; [2.31952, 2.38115])
[0.0365782, 0.0375219] ; ([-0.0293554, -0.0284568] ; [-0.957516, -0.946348] ; [-1.70227, -1.69999] ; [2.38115, 2.44417])
[0.0375219, 0.0384869] ; ([-0.0302845, -0.0293552] ; [-0.968235, -0.957168] ; [-1.69999, -1.6976] ; [2.44416, 2.50864])
[0.0384869, 0.0394742] ; ([-0.0312455, -0.0302843] ; [-0.978859, -0.967888] ; [-1.6976, -1.69509] ; [2.50864, 2.57465])
[0.0394742, 0.0404849] ; ([-0.0322401, -0.0312453] ; [-0.989396, -0.978515] ; [-1.69509, -1.69245] ; [2.57465, 2.64225])
[0.0404849, 0.0415202] ; ([-0.0332696, -0.0322398] ; [-0.999852, -0.989054] ; [-1.69245, -1.68968] ; [2.64225, 2.71154])
[0.0415202, 0.0425812] ; ([-0.0343358, -0.0332693] ; [-1.01023, -0.999512] ; [-1.68968, -1.68677] ; [2.71153, 2.78258])
[0.0425812, 0.0436694] ; ([-0.0354407, -0.0343355] ; [-1.02055, -1.0099] ; [-1.68677, -1.6837] ; [2.78258, 2.85548])
[0.0436694, 0.0447864] ; ([-0.0365862, -0.0354404] ; [-1.03081, -1.02022] ; [-1.6837, -1.68047] ; [2.85548, 2.93034])
[0.0447864, 0.0459338] ; ([-0.0377747, -0.0365859] ; [-1.04103, -1.03048] ; [-1.68047, -1.67706] ; [2.93034, 3.00727])
[0.0459338, 0.0471136] ; ([-0.0390088, -0.0377744] ; [-1.05122, -1.0407] ; [-1.67706, -1.67347] ; [3.00727, 3.0864])
[0.0471136, 0.0483278] ; ([-0.0402912, -0.0390084] ; [-1.06139, -1.05089] ; [-1.67347, -1.66967] ; [3.0864, 3.16787])
[0.0483278, 0.0495789] ; ([-0.0416253, -0.0402908] ; [-1.07155, -1.06107] ; [-1.66967, -1.66565] ; [3.16787, 3.25184])
[0.0495789, 0.0508694] ; ([-0.0430146, -0.0416249] ; [-1.08173, -1.07124] ; [-1.66565, -1.6614] ; [3.25184, 3.33848])
[0.0508694, 0.0522024] ; ([-0.0444632, -0.0430141] ; [-1.09195, -1.08142] ; [-1.6614, -1.65689] ; [3.33848, 3.42799])
[0.0522024, 0.0535813] ; ([-0.0459758, -0.0444627] ; [-1.10222, -1.09164] ; [-1.65689, -1.6521] ; [3.42799, 3.52061])
[0.0535813, 0.0550101] ; ([-0.0475579, -0.0459753] ; [-1.11258, -1.10192] ; [-1.6521, -1.647] ; [3.52061, 3.6166])
[0.0550101, 0.0564934] ; ([-0.0492159, -0.0475573] ; [-1.12306, -1.11229] ; [-1.647, -1.64156] ; [3.6166, 3.71627])
[0.0564934, 0.0580366] ; ([-0.0509571, -0.0492152] ; [-1.13369, -1.12277] ; [-1.64156, -1.63575] ; [3.71626, 3.81996])
[0.0580366, 0.0596462] ; ([-0.0527905, -0.0509564] ; [-1.14452, -1.13341] ; [-1.63575, -1.62951] ; [3.81996, 3.92813])
[0.0596462, 0.06133] ; ([-0.0547269, -0.0527897] ; [-1.15561, -1.14426] ; [-1.62951, -1.6228] ; [3.92812, 4.04127])
[0.06133, 0.0630975] ; ([-0.0567794, -0.054726] ; [-1.16701, -1.15535] ; [-1.6228, -1.61556] ; [4.04126, 4.16004])
[0.0630975, 0.0649606] ; ([-0.0589646, -0.0567784] ; [-1.17882, -1.16677] ; [-1.61556, -1.60769] ; [4.16001, 4.2852])
[0.0649606, 0.0669344] ; ([-0.0613035, -0.0589634] ; [-1.19113, -1.17858] ; [-1.60769, -1.5991] ; [4.28516, 4.41777])
[0.0669344, 0.0690387] ; ([-0.0638238, -0.0613021] ; [-1.20408, -1.19091] ; [-1.5991, -1.58965] ; [4.41772, 4.55906])
[0.0690387, 0.0713001] ; ([-0.0665625, -0.0638221] ; [-1.21786, -1.20388] ; [-1.58966, -1.57917] ; [4.55898, 4.71083])
[0.0713001, 0.0737555] ; ([-0.0695713, -0.0665604] ; [-1.23275, -1.21769] ; [-1.57917, -1.5674] ; [4.71071, 4.8755])
[0.0737555, 0.0764575] ; ([-0.072925, -0.0695687] ; [-1.24912, -1.23258] ; [-1.5674, -1.55399] ; [4.87534, 5.05658])
[0.0764575, 0.0792325] ; ([-0.0764146, -0.0729215] ; [-1.26595, -1.24894] ; [-1.55399, -1.5397] ; [5.05636, 5.24232])
[0.0792325, 0.0818051] ; ([-0.0796909, -0.0764106] ; [-1.28162, -1.2658] ; [-1.5397, -1.52599] ; [5.24208, 5.41429])
[0.0818051, 0.0842492] ; ([-0.0828413, -0.0796872] ; [-1.29666, -1.28151] ; [-1.52599, -1.51256] ; [5.41404, 5.57743])
[0.0842492, 0.0866047] ; ([-0.0859124, -0.0828377] ; [-1.31132, -1.29655] ; [-1.51256, -1.49924] ; [5.57718, 5.73443])
[0.0866047, 0.0888965] ; ([-0.088934, -0.0859088] ; [-1.32577, -1.31122] ; [-1.49924, -1.48592] ; [5.73416, 5.88693])
[0.0888965, 0.0911413] ; ([-0.091926, -0.0889303] ; [-1.34014, -1.32568] ; [-1.48592, -1.47254] ; [5.88665, 6.03605])
[0.0911413, 0.0933511] ; ([-0.0949032, -0.0919223] ; [-1.3545, -1.34004] ; [-1.47254, -1.45904] ; [6.03575, 6.18256])
[0.0933511, 0.0955349] ; ([-0.0978767, -0.0948993] ; [-1.36893, -1.35441] ; [-1.45904, -1.44538] ; [6.18223, 6.32704])
[0.0955349, 0.0976998] ; ([-0.100856, -0.0978728] ; [-1.38347, -1.36883] ; [-1.44538, -1.43152] ; [6.3267, 6.46995])
[0.0976998, 0.0998517] ; ([-0.103849, -0.100852] ; [-1.39817, -1.38337] ; [-1.43153, -1.41745] ; [6.46958, 6.61165])
[0.0998517, 0.101996] ; ([-0.106862, -0.103844] ; [-1.41307, -1.39807] ; [-1.41745, -1.40313] ; [6.61125, 6.75245])
[0.101996, 0.104136] ; ([-0.109902, -0.106858] ; [-1.42821, -1.41297] ; [-1.40313, -1.38852] ; [6.75202, 6.8926])
[0.104136, 0.106277] ; ([-0.112976, -0.109898] ; [-1.44362, -1.42811] ; [-1.38852, -1.37362] ; [6.89214, 7.03235])
[0.106277, 0.108422] ; ([-0.11609, -0.112971] ; [-1.45933, -1.44352] ; [-1.37362, -1.35838] ; [7.03185, 7.17192])
[0.108422, 0.110575] ; ([-0.11925, -0.116085] ; [-1.47537, -1.45923] ; [-1.35839, -1.34279] ; [7.17137, 7.31151])
[0.110575, 0.112741] ; ([-0.122463, -0.119244] ; [-1.49178, -1.47526] ; [-1.34279, -1.3268] ; [7.31091, 7.45135])
[0.112741, 0.114924] ; ([-0.125738, -0.122457] ; [-1.50858, -1.49167] ; [-1.3268, -1.31038] ; [7.4507, 7.59166])
[0.114924, 0.117128] ; ([-0.129082, -0.125732] ; [-1.52582, -1.50847] ; [-1.31039, -1.29349] ; [7.59094, 7.73269])
[0.117128, 0.11936] ; ([-0.132507, -0.129076] ; [-1.54353, -1.5257] ; [-1.2935, -1.27608] ; [7.7319, 7.87471])
[0.11936, 0.121625] ; ([-0.136024, -0.1325] ; [-1.56176, -1.5434] ; [-1.27608, -1.25808] ; [7.87384, 8.01806])
[0.121625, 0.123932] ; ([-0.139648, -0.136017] ; [-1.58058, -1.56163] ; [-1.25808, -1.23942] ; [8.01709, 8.16312])
[0.123932, 0.12629] ; ([-0.143398, -0.139641] ; [-1.60005, -1.58043] ; [-1.23942, -1.22] ; [8.16204, 8.31042])
[0.12629, 0.128713] ; ([-0.147299, -0.143391] ; [-1.62026, -1.59988] ; [-1.22, -1.19968] ; [8.30919, 8.46058])
[0.128713, 0.131218] ; ([-0.151385, -0.147291] ; [-1.64136, -1.62005] ; [-1.19968, -1.17829] ; [8.45918, 8.61453])
[0.131218, 0.13383] ; ([-0.155701, -0.151376] ; [-1.66351, -1.64108] ; [-1.1783, -1.15559] ; [8.61289, 8.77352])
[0.13383, 0.13651] ; ([-0.160189, -0.155692] ; [-1.68634, -1.66316] ; [-1.15559, -1.13186] ; [8.77163, 8.93482])
[0.13651, 0.138967] ; ([-0.164357, -0.160179] ; [-1.70724, -1.68596] ; [-1.13186, -1.10973] ; [8.93292, 9.08082])
[0.138967, 0.141306] ; ([-0.168374, -0.164348] ; [-1.72712, -1.70688] ; [-1.10973, -1.08833] ; [9.07902, 9.21825])
[0.141306, 0.14353] ; ([-0.172234, -0.168364] ; [-1.74592, -1.72677] ; [-1.08833, -1.06769] ; [9.2165, 9.34726])
[0.14353, 0.145654] ; ([-0.175962, -0.172225] ; [-1.76375, -1.74557] ; [-1.06769, -1.0477] ; [9.34556, 9.469])
[0.145654, 0.147691] ; ([-0.179572, -0.175952] ; [-1.78069, -1.7634] ; [-1.04771, -1.0283] ; [9.46734, 9.58426])
[0.147691, 0.149651] ; ([-0.183078, -0.179562] ; [-1.79679, -1.78033] ; [-1.0283, -1.00941] ; [9.58264, 9.6937])
[0.149651, 0.151543] ; ([-0.18649, -0.183068] ; [-1.81207, -1.79639] ; [-1.00941, -0.990976] ; [9.6921, 9.79787])
[0.151543, 0.153372] ; ([-0.189818, -0.18648] ; [-1.82657, -1.81165] ; [-0.990981, -0.972962] ; [9.79629, 9.89723])
[0.153372, 0.155146] ; ([-0.193069, -0.189808] ; [-1.84033, -1.82614] ; [-0.972967, -0.955325] ; [9.89567, 9.99217])
[0.155146, 0.156868] ; ([-0.196251, -0.193059] ; [-1.85337, -1.83988] ; [-0.955331, -0.938034] ; [9.99063, 10.083])
[0.156868, 0.158545] ; ([-0.199368, -0.196241] ; [-1.86571, -1.8529] ; [-0.93804, -0.921058] ; [10.0815, 10.1701])
[0.158545, 0.160179] ; ([-0.202426, -0.199358] ; [-1.87736, -1.86522] ; [-0.921065, -0.904373] ; [10.1686, 10.2536])
[0.160179, 0.161774] ; ([-0.205429, -0.202415] ; [-1.88835, -1.87686] ; [-0.904379, -0.887956] ; [10.2521, 10.3338])
[0.161774, 0.163333] ; ([-0.20838, -0.205418] ; [-1.89868, -1.88784] ; [-0.887962, -0.871786] ; [10.3323, 10.4109])
[0.163333, 0.164858] ; ([-0.211284, -0.20837] ; [-1.90837, -1.89815] ; [-0.871793, -0.855847] ; [10.4094, 10.485])
[0.164858, 0.166353] ; ([-0.214143, -0.211273] ; [-1.91741, -1.90783] ; [-0.855854, -0.840122] ; [10.4836, 10.5564])
[0.166353, 0.167819] ; ([-0.21696, -0.214132] ; [-1.92583, -1.91686] ; [-0.840129, -0.824596] ; [10.5549, 10.625])
