[-0.00012218, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0.0187512, 0.0192997] ; ([0.0311285, 0.0314849] ; [-0.655575, -0.643679] ; [0.866329, 0.866705] ; [-0.696605, -0.673992])
[0.0192997, 0.0198528] ; ([0.0307628, 0.0311286] ; [-0.666969, -0.655276] ; [0.865938, 0.866329] ; [-0.719514, -0.696603])
[0.0198528, 0.0204105] ; ([0.0303878, 0.0307629] ; [-0.678163, -0.666672] ; [0.86553, 0.865938] ; [-0.742725, -0.719513])
[0.0204105, 0.0209729] ; ([0.0300034, 0.0303879] ; [-0.689159, -0.677868] ; [0.865106, 0.86553] ; [-0.766238, -0.742723])
[0.0209729, 0.0215401] ; ([0.0296095, 0.0300034] ; [-0.69996, -0.688868] ; [0.864664, 0.865106] ; [-0.790056, -0.766236])
[0.0215401, 0.0221122] ; ([0.0292061, 0.0296095] ; [-0.710567, -0.699671] ; [0.864205, 0.864664] ; [-0.81418, -0.790054])
[0.0221122, 0.0226892] ; ([0.0287931, 0.0292061] ; [-0.720982, -0.710281] ; [0.863729, 0.864205] ; [-0.838613, -0.814179])
[0.0226892, 0.0232712] ; ([0.0283706, 0.0287932] ; [-0.731205, -0.720698] ; [0.863233, 0.863729] ; [-0.863357, -0.838612])
[0.0232712, 0.0238583] ; ([0.0279385, 0.0283707] ; [-0.74124, -0.730925] ; [0.862719, 0.863233] ; [-0.888415, -0.863356])
[0.0238583, 0.0244532] ; ([0.0274946, 0.0279385] ; [-0.751132, -0.740961] ; [0.862183, 0.862719] ; [-0.9139, -0.888413])
[0.0244532, 0.0250561] ; ([0.0270389, 0.0274947] ; [-0.760879, -0.750853] ; [0.861624, 0.862183] ; [-0.939823, -0.913898])
[0.0250561, 0.0256671] ; ([0.0265711, 0.027039] ; [-0.770483, -0.760601] ; [0.861042, 0.861624] ; [-0.966191, -0.939821])
[0.0256671, 0.0262866] ; ([0.026091, 0.0265712] ; [-0.779941, -0.770204] ; [0.860435, 0.861042] ; [-0.993013, -0.966189])
[0.0262866, 0.0269146] ; ([0.0255983, 0.026091] ; [-0.789253, -0.779663] ; [0.859803, 0.860435] ; [-1.0203, -0.993011])
[0.0269146, 0.0275514] ; ([0.0250929, 0.0255984] ; [-0.79842, -0.788976] ; [0.859144, 0.859803] ; [-1.04805, -1.02029])
[0.0275514, 0.0281971] ; ([0.0245744, 0.0250929] ; [-0.807441, -0.798143] ; [0.858458, 0.859144] ; [-1.07628, -1.04805])
