[-0.0001447, 0] ; ([-0.00349066, -0.00349066] ; [0, 0] ; [-0.776672, -0.776672] ; [0, 0])
[0.0126371, 0.0130201] ; ([-0.00823422, -0.00799302] ; [-0.635722, -0.623644] ; [-0.770524, -0.770164] ; [0.92595, 0.950365])
[0.0130201, 0.013408] ; ([-0.00848305, -0.00823417] ; [-0.64734, -0.635415] ; [-0.770164, -0.769791] ; [0.950195, 0.974756])
[0.013408, 0.013801] ; ([-0.00873966, -0.008483] ; [-0.658805, -0.647033] ; [-0.769791, -0.769403] ; [0.974585, 0.999296])
[0.013801, 0.0141992] ; ([-0.00900419, -0.00873962] ; [-0.670116, -0.658499] ; [-0.769403, -0.769] ; [0.999125, 1.02399])
[0.0141992, 0.0146026] ; ([-0.00927675, -0.00900414] ; [-0.681272, -0.66981] ; [-0.769, -0.768582] ; [1.02382, 1.04884])
[0.0146026, 0.0150115] ; ([-0.00955748, -0.0092767] ; [-0.692273, -0.680966] ; [-0.768582, -0.768148] ; [1.04867, 1.07385])
[0.0150115, 0.0154258] ; ([-0.0098465, -0.00955743] ; [-0.703118, -0.691967] ; [-0.768148, -0.767698] ; [1.07368, 1.09902])
[0.0154258, 0.0158457] ; ([-0.010144, -0.00984645] ; [-0.713806, -0.702813] ; [-0.767698, -0.767231] ; [1.09885, 1.12437])
[0.0158457, 0.0162714] ; ([-0.01045, -0.0101439] ; [-0.724338, -0.713502] ; [-0.767231, -0.766747] ; [1.12419, 1.14989])
[0.0162714, 0.0167029] ; ([-0.0107647, -0.0104499] ; [-0.734714, -0.724035] ; [-0.766747, -0.766246] ; [1.14971, 1.17558])
[0.0167029, 0.0171403] ; ([-0.0110883, -0.0107647] ; [-0.744932, -0.734411] ; [-0.766246, -0.765726] ; [1.17541, 1.20146])
[0.0171403, 0.0175839] ; ([-0.0114209, -0.0110882] ; [-0.754992, -0.74463] ; [-0.765726, -0.765187] ; [1.20129, 1.22753])
[0.0175839, 0.0180337] ; ([-0.0117627, -0.0114208] ; [-0.764895, -0.754691] ; [-0.765187, -0.764629] ; [1.22735, 1.25379])
[0.0180337, 0.0184899] ; ([-0.0121138, -0.0117626] ; [-0.77464, -0.764595] ; [-0.764629, -0.764051] ; [1.25361, 1.28025])
[0.0184899, 0.0189526] ; ([-0.0124743, -0.0121137] ; [-0.784227, -0.77434] ; [-0.764051, -0.763453] ; [1.28007, 1.30691])
[0.0189526, 0.0194219] ; ([-0.0128446, -0.0124743] ; [-0.793656, -0.783928] ; [-0.763453, -0.762833] ; [1.30673, 1.33378])
[0.0194219, 0.0198981] ; ([-0.0132246, -0.0128445] ; [-0.802927, -0.793358] ; [-0.762833, -0.762191] ; [1.3336, 1.36087])
[0.0198981, 0.0203813] ; ([-0.0136147, -0.0132246] ; [-0.81204, -0.802631] ; [-0.762191, -0.761527] ; [1.36069, 1.38818])
[0.0203813, 0.0208716] ; ([-0.014015, -0.0136147] ; [-0.820996, -0.811745] ; [-0.761527, -0.76084] ; [1.388, 1.41572])
[0.0208716, 0.0213693] ; ([-0.0144257, -0.014015] ; [-0.829794, -0.820702] ; [-0.76084, -0.760129] ; [1.41554, 1.44349])
[0.0213693, 0.0218744] ; ([-0.0148471, -0.0144257] ; [-0.838434, -0.829501] ; [-0.760129, -0.759392] ; [1.44331, 1.47151])
[0.0218744, 0.0223873] ; ([-0.0152792, -0.014847] ; [-0.846918, -0.838143] ; [-0.759392, -0.75863] ; [1.47133, 1.49978])
[0.0223873, 0.0229081] ; ([-0.0157224, -0.0152791] ; [-0.855245, -0.846628] ; [-0.75863, -0.757842] ; [1.4996, 1.5283])
[0.0229081, 0.023437] ; ([-0.0161768, -0.0157223] ; [-0.863416, -0.854956] ; [-0.757842, -0.757026] ; [1.52812, 1.5571])
[0.023437, 0.0239742] ; ([-0.0166428, -0.0161767] ; [-0.871431, -0.863129] ; [-0.757026, -0.756182] ; [1.55691, 1.58616])
[0.0239742, 0.02452] ; ([-0.0171204, -0.0166427] ; [-0.879291, -0.871145] ; [-0.756182, -0.755308] ; [1.58598, 1.61551])
[0.02452, 0.0250746] ; ([-0.0176101, -0.0171204] ; [-0.886996, -0.879007] ; [-0.755308, -0.754404] ; [1.61533, 1.64515])
[0.0250746, 0.0256382] ; ([-0.0181121, -0.01761] ; [-0.894547, -0.886714] ; [-0.754404, -0.753468] ; [1.64497, 1.67509])
[0.0256382, 0.026211] ; ([-0.0186266, -0.018112] ; [-0.901945, -0.894266] ; [-0.753468, -0.7525] ; [1.67491, 1.70535])
[0.026211, 0.0267935] ; ([-0.019154, -0.0186265] ; [-0.90919, -0.901666] ; [-0.7525, -0.751498] ; [1.70516, 1.73592])
[0.0267935, 0.0273857] ; ([-0.0196944, -0.0191539] ; [-0.916283, -0.908912] ; [-0.751498, -0.750461] ; [1.73573, 1.76682])
[0.0273857, 0.027988] ; ([-0.0202484, -0.0196943] ; [-0.923225, -0.916007] ; [-0.750461, -0.749387] ; [1.76664, 1.79807])
[0.027988, 0.0286008] ; ([-0.0208161, -0.0202483] ; [-0.930017, -0.922951] ; [-0.749387, -0.748276] ; [1.79788, 1.82967])
[0.0286008, 0.0292243] ; ([-0.021398, -0.020816] ; [-0.936659, -0.929745] ; [-0.748276, -0.747125] ; [1.82948, 1.86164])
[0.0292243, 0.0298589] ; ([-0.0219944, -0.0213979] ; [-0.943153, -0.936389] ; [-0.747125, -0.745934] ; [1.86145, 1.89399])
[0.0298589, 0.0305048] ; ([-0.0226056, -0.0219942] ; [-0.9495, -0.942885] ; [-0.745934, -0.7447] ; [1.89379, 1.92672])
