[-0.000125263, 0] ; ([0.0383972, 0.0383972] ; [0, 0] ; [0.872665, 0.872665] ; [0, 0])
[0.0191052, 0.0196641] ; ([0.0310401, 0.0314007] ; [-0.650934, -0.639141] ; [0.866075, 0.866465] ; [-0.70958, -0.686651])
[0.0196641, 0.0202278] ; ([0.03067, 0.0310401] ; [-0.662226, -0.650635] ; [0.865668, 0.866075] ; [-0.732805, -0.709578])
[0.0202278, 0.0207962] ; ([0.0302905, 0.0306701] ; [-0.673319, -0.66193] ; [0.865245, 0.865668] ; [-0.756332, -0.732804])
[0.0207962, 0.0213694] ; ([0.0299015, 0.0302906] ; [-0.684217, -0.673027] ; [0.864805, 0.865245] ; [-0.780162, -0.756331])
[0.0213694, 0.0219476] ; ([0.0295029, 0.0299016] ; [-0.694919, -0.683927] ; [0.864347, 0.864805] ; [-0.804297, -0.780161])
[0.0219476, 0.0225307] ; ([0.0290947, 0.029503] ; [-0.705428, -0.694632] ; [0.863871, 0.864347] ; [-0.828739, -0.804295])
[0.0225307, 0.0231188] ; ([0.0286769, 0.0290948] ; [-0.715746, -0.705143] ; [0.863376, 0.863871] ; [-0.85349, -0.828737])
[0.0231188, 0.0237121] ; ([0.0282493, 0.028677] ; [-0.725874, -0.715464] ; [0.862862, 0.863376] ; [-0.878552, -0.853488])
[0.0237121, 0.0243121] ; ([0.0278108, 0.0282494] ; [-0.735841, -0.725594] ; [0.862327, 0.862862] ; [-0.903996, -0.87855])
[0.0243121, 0.0249202] ; ([0.0273604, 0.0278109] ; [-0.745664, -0.735561] ; [0.86177, 0.862327] ; [-0.929874, -0.903994])
[0.0249202, 0.0255366] ; ([0.0268979, 0.0273605] ; [-0.755343, -0.745385] ; [0.861189, 0.86177] ; [-0.956195, -0.929873])
[0.0255366, 0.0261614] ; ([0.0264231, 0.026898] ; [-0.764878, -0.755065] ; [0.860583, 0.861189] ; [-0.982967, -0.956194])
[0.0261614, 0.0267948] ; ([0.0259357, 0.0264232] ; [-0.774268, -0.764599] ; [0.859952, 0.860583] ; [-1.0102, -0.982965])
[0.0267948, 0.027437] ; ([0.0254355, 0.0259358] ; [-0.783512, -0.773989] ; [0.859294, 0.859952] ; [-1.03789, -1.01019])
[0.027437, 0.0280883] ; ([0.0249224, 0.0254356] ; [-0.79261, -0.783234] ; [0.858609, 0.859294] ; [-1.06606, -1.03789])
[0.0280883, 0.0287488] ; ([0.024396, 0.0249225] ; [-0.801561, -0.792332] ; [0.857895, 0.858609] ; [-1.09472, -1.06606])
[0.0287488, 0.0294187] ; ([0.0238561, 0.0243961] ; [-0.810366, -0.801284] ; [0.857152, 0.857895] ; [-1.12387, -1.09472])
[0.0294187, 0.0300984] ; ([0.0233025, 0.0238562] ; [-0.819023, -0.810089] ; [0.856378, 0.857152] ; [-1.15352, -1.12387])
[0.0300984, 0.0307879] ; ([0.0227349, 0.0233026] ; [-0.827532, -0.818747] ; [0.855572, 0.856378] ; [-1.18368, -1.15352])
