[0.0824655, 0.0824707] ; [0.202085, 0.20447]
[0.0826434, 0.0826488] ; [0.20447, 0.206909]
[0.0827956, 0.0828013] ; [0.206909, 0.209386]
[0.0829206, 0.0829266] ; [0.209386, 0.211892]
[0.0830149, 0.0830212] ; [0.211892, 0.214355]
[0.0830796, 0.0830862] ; [0.214355, 0.216747]
[0.0831172, 0.0831241] ; [0.216747, 0.219087]
[0.0831297, 0.0831369] ; [0.219087, 0.221381]
[0.0831187, 0.0831261] ; [0.221381, 0.223637]
[0.0830853, 0.083093] ; [0.223637, 0.225858]
[0.0830308, 0.0830388] ; [0.225858, 0.22805]
[0.0829562, 0.0829643] ; [0.22805, 0.230218]
[0.0828621, 0.0828705] ; [0.230218, 0.232363]
[0.0827495, 0.0827581] ; [0.232363, 0.234489]
[0.0826188, 0.0826276] ; [0.234489, 0.2366]
[0.0824708, 0.0824798] ; [0.2366, 0.238696]
[0.082306, 0.0823152] ; [0.238696, 0.24078]
[0.0821248, 0.0821343] ; [0.24078, 0.242852]
[0.0819279, 0.0819375] ; [0.242852, 0.244916]
[0.0817154, 0.0817253] ; [0.244916, 0.246972]
[0.0814879, 0.081498] ; [0.246972, 0.249022]
[0.0812457, 0.0812559] ; [0.249022, 0.251067]
[0.080989, 0.0809994] ; [0.251067, 0.25311]
[0.0807181, 0.0807287] ; [0.25311, 0.25515]
[0.0804334, 0.0804442] ; [0.25515, 0.25719]
[0.0801351, 0.080146] ; [0.25719, 0.25923]
[0.0798234, 0.0798345] ; [0.25923, 0.261271]
[0.0794985, 0.0795098] ; [0.261271, 0.263315]
[0.0791607, 0.0791721] ; [0.263315, 0.265362]
[0.0788101, 0.0788217] ; [0.265362, 0.267413]
[0.0784469, 0.0784587] ; [0.267413, 0.269469]
[0.0780714, 0.0780833] ; [0.269469, 0.271531]
[0.0776836, 0.0776957] ; [0.271531, 0.2736]
[0.0772838, 0.0772961] ; [0.2736, 0.275676]
[0.0768721, 0.0768845] ; [0.275676, 0.277762]
[0.0764486, 0.0764612] ; [0.277762, 0.279856]
[0.0760135, 0.0760262] ; [0.279856, 0.281961]
[0.0755668, 0.0755797] ; [0.281961, 0.284077]
[0.0751088, 0.0751218] ; [0.284077, 0.286204]
[0.0746394, 0.0746526] ; [0.286204, 0.288345]
[0.0741589, 0.0741722] ; [0.288345, 0.290499]
[0.0736672, 0.0736807] ; [0.290499, 0.292668]
[0.0731644, 0.0731781] ; [0.292668, 0.294853]
[0.0726507, 0.0726645] ; [0.294853, 0.297055]
[0.0721259, 0.0721398] ; [0.297055, 0.299274]
[0.0715901, 0.0716042] ; [0.299274, 0.301513]
[0.0710434, 0.0710576] ; [0.301513, 0.303772]
[0.0704855, 0.0704999] ; [0.303772, 0.306053]
[0.0699166, 0.0699311] ; [0.306053, 0.308357]
[0.0693364, 0.0693511] ; [0.308357, 0.310686]
[0.0687448, 0.0687596] ; [0.310686, 0.313042]
[0.0681416, 0.0681566] ; [0.313042, 0.315427]
[0.0675432, 0.0675583] ; [0.315427, 0.317778]
[0.0669497, 0.0669649] ; [0.317778, 0.320096]
[0.0663615, 0.0663769] ; [0.320096, 0.322383]
[0.0657788, 0.0657943] ; [0.322383, 0.324639]
[0.0652018, 0.0652174] ; [0.324639, 0.326865]
[0.0646307, 0.0646464] ; [0.326865, 0.329062]
[0.0640655, 0.0640814] ; [0.329062, 0.33123]
[0.0635065, 0.0635225] ; [0.33123, 0.333371]
[0.0629538, 0.0629698] ; [0.333371, 0.335485]
[0.0624072, 0.0624233] ; [0.335485, 0.337573]
[0.0618671, 0.0618832] ; [0.337573, 0.339636]
[0.0613332, 0.0613495] ; [0.339636, 0.341673]
[0.0608058, 0.0608222] ; [0.341673, 0.343687]
[0.0602848, 0.0603012] ; [0.343687, 0.345676]
[0.0597704, 0.0597869] ; [0.345676, 0.347641]
[0.0592626, 0.0592792] ; [0.347641, 0.349582]
[0.0587614, 0.0587781] ; [0.349582, 0.3515]
[0.0582667, 0.0582834] ; [0.3515, 0.353396]
[0.0577784, 0.0577952] ; [0.353396, 0.355269]
[0.0572965, 0.0573134] ; [0.355269, 0.35712]
[0.056821, 0.0568379] ; [0.35712, 0.358951]
[0.0563517, 0.0563686] ; [0.358951, 0.36076]
[0.0558886, 0.0559056] ; [0.36076, 0.362548]
[0.0554317, 0.0554488] ; [0.362548, 0.364317]
[0.0549809, 0.054998] ; [0.364317, 0.366065]
[0.0545361, 0.0545533] ; [0.366065, 0.367793]
[0.0540973, 0.0541145] ; [0.367793, 0.369502]
[0.0536645, 0.0536817] ; [0.369502, 0.371191]
[0.0532375, 0.0532548] ; [0.371191, 0.372861]
[0.0528163, 0.0528337] ; [0.372861, 0.374512]
[0.052401, 0.0524184] ; [0.374512, 0.376144]
[0.0519913, 0.0520088] ; [0.376144, 0.377757]
[0.0515874, 0.0516049] ; [0.377757, 0.379351]
[0.0511891, 0.0512066] ; [0.379351, 0.380926]
[0.0507964, 0.0508139] ; [0.380926, 0.382482]
[0.0504092, 0.0504268] ; [0.382482, 0.38402]
[0.0500276, 0.0500452] ; [0.38402, 0.38554]
[0.0496514, 0.049669] ; [0.38554, 0.38704]
[0.0492807, 0.0492984] ; [0.38704, 0.388522]
[0.0489154, 0.0489331] ; [0.388522, 0.389985]
[0.0485527, 0.0485705] ; [0.389985, 0.391441]
[0.048191, 0.0482087] ; [0.391441, 0.392896]
[0.0478301, 0.0478479] ; [0.392896, 0.39435]
[0.0474701, 0.0474879] ; [0.39435, 0.395803]
[0.0471108, 0.0471287] ; [0.395803, 0.397256]
[0.0467524, 0.0467702] ; [0.397256, 0.398709]
[0.0463946, 0.0464125] ; [0.398709, 0.400161]
[0.0460376, 0.0460555] ; [0.400161, 0.401613]
[0.0456812, 0.0456992] ; [0.401613, 0.403065]
[0.0453254, 0.0453434] ; [0.403065, 0.404516]
